"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
58,"NCT04120623","Therapeutic Effect of Dapagliflozin Combined With CSII on Newly Diagnosed Type 2 Diabetes Mellitus",,"Not yet recruiting","No Results Available","Type 2 Diabetes Mellitus","Drug: Dapagliflozin 10 MG|Drug: Insulin Aspart","the effect of dapagliflozin combined with CSII on glucose profile|the effects of dapagliflozin combined with CSII on weight|the effects of dapagliflozin combined with CSII on blood pressure|the effects of dapagliflozin combined with CSII on lipid metabolism(total cholesterol in mmol/l, total glyceride in mmol/l)","Nanjing First Hospital, Nanjing Medical University","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 4","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","KY20190926-03","October 1, 2019","December 31, 2019","February 28, 2020","October 9, 2019",,"October 9, 2019",,,"https://ClinicalTrials.gov/show/NCT04120623"
59,"NCT03986073","Study of TQ-F3083 Capsules in Subjects With Type 2 Diabetes Mellitus",,"Recruiting","No Results Available","Type 2 Diabetes Mellitus","Drug: TQ-F3083 capsule 10 mg|Drug: TQ-F3083 capsule 20 mg|Drug: TQ-F3083 blank analog capsule|Drug: Linagliptin blank analog tablet|Drug: Linagliptin tablet","Glycosylated hemoglobin (HbA1c)|Fasting plasma glucose (FPG)|2 hours-postprandial blood sugar (2h-PPG）|Weight|HbA1c|DPP-4 activity ( dipeptidyl peptidase-4)|GLP-1 (glucagon-like peptide-1)","Chia Tai Tianqing Pharmaceutical Group Co., Ltd.","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 2","120","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","TQ-F3083-II-01","January 1, 2020","June 30, 2020","September 30, 2020","June 14, 2019",,"March 13, 2020","The Second Affiliated Hospital of Chongqing Medical Uversity, Chongqing, Chongqing, China|Chongqing General Hospital, UCAS, Chongqing, Chongqing, China|The Third Affiliated Hospital of Sun Yat-Sen University, Guangzhou, Guangdong, China|The First Affiliated Hospital of Guangxi Medical University, Nanning, Guangxi, China|Xiangya Hospital Central South University, Changsha, Hunan, China|Yuncheng Central Hospital, Jinan, Shandong, China|Jincheng Geberal Hospital, Jincheng, Shanxi, China|West China Hospital of Sichuan University, Chengdu, Sichuan, China|The First People's Hospital of Yunnan Province, Kunming, Yunnan, China",,"https://ClinicalTrials.gov/show/NCT03986073"
60,"NCT03943940","BM-MNCs and UC-MSCs Infusion for Type 2 Diabetes Mellitus Patients","T2DM","Recruiting","No Results Available","Type 2 Diabetes Mellitus","Biological: BM-MNC and UC-MSC|Other: Control","The level of C-peptid and HOMA-β|The level of HOMA-IR and cytokines TNF-α, IL-1β|Blood glucose level|Hemoglobin A1c (HbA1c) level|Adverse events|Insulin dose and drug dosage","Van Hanh General Hospital","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1|Phase 2","60","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TNLS012019-TBG","April 24, 2019","December 30, 2019","August 30, 2020","May 9, 2019",,"May 10, 2019","Van Hanh General Hospital, Ho Chi Minh City, Ho Chi Minh, Vietnam",,"https://ClinicalTrials.gov/show/NCT03943940"
61,"NCT03952143","A Study of LY900014 Compared to Insulin Lispro (Humalog) in Adults With Type 2 Diabetes",,"Suspended","No Results Available","Type 2 Diabetes Mellitus","Drug: LY900014|Drug: Insulin Lispro|Drug: Insulin Glargine|Drug: Insulin Degludec","Change from Baseline in Hemoglobin A1c (HbA1c)|1-hour Postprandial Glucose (PPG) Excursion during Mixed-Meal Tolerance Test (MMTT)|2-hour PPG Excursion during MMTT|Rate of Severe Hypoglycemia|Rate of Documented Symptomatic Postmeal Hypoglycemia|Change From Baseline in 1,5-Anhydroglucitol (1,5-AG)|Change from Baseline in 10-Point Self-Monitoring Blood Glucose (SMBG) Values|Change from Baseline in Insulin Dose|Proportion of Participants with HbA1c <7% and ≤6.5%","Eli Lilly and Company","All","18 Years and older   (Adult, Older Adult)","Phase 3","564","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","16830|I8B-FH-ITSE","May 27, 2019","February 1, 2021","February 1, 2021","May 16, 2019",,"June 5, 2020","Centro de Investigaciones Metabólicas (CINME), Caba, Buenos Aires, Argentina|Centro Médico Viamonte, Ciudad Autonoma de Buenos Aire, Argentina|Cent Priva Especiali Médicas Ambulatorias Inve Clin CEMAIC, Cordoba, Argentina|Fujian Medical University Union Hospital, Fuzhou, Fujian, China|CANGZHOU People's Hospital, Cangzhou, Hebei, China|First hospital of Qinhuangdao, Qinhuangdao, Hebei, China|Xingtai People's Hospital, Xingtai, Hebei, China|The Fourth Affiliated Hospital of Harbin Medical University, Harbin, Heilongjiang, China|The First Hospital of Qiqihar, Qiqihar, Heilongjiang, China|The 1st Affiliated Hospital of Henan Science and technology, Luoyang, Henan, China|Wuhan Pu'ai Hospital, Wuhan, Hubei, China|Wuhan Central Hospital, Wuhan, Hubei, China|Yichang central people's hospital, Yichang, Hubei, China|Chenzhou NO.1 People's Hospital, Chenzhou, Hunan, China|The First People Hospital of Yueyang, Yueyang, Hunan, China|Inner Monglia People's Hospital, Hohhot, Inner Mongolia, China|Changzhou No.2 People's Hospital, Changzhou, Jiangsu, China|The Affliated Jiangyin Hospital of Southeast University Medical College, Jiangyin, Jiangsu, China|Zhongda Hospital Southeast University, Nanjing, Jiangsu, China|The First Hospital of Nanjing, Nanjing, Jiangsu, China|Nanjing Jiangning Hospital, Nanjing, Jiangsu, China|Affiliated Hospital of Jiangsu University, Zhenjiang, Jiangsu, China|China-Japan Union Hospital, CJUH., Changchun, Jilin, China|Siping central people's hospital, Siping, Jilin, China|Dalian Municipal Central Hospital Affiliated of Dalian Medical University, Dalian, Liaoning, China|Shengjing Hospital of China Medical University, Shenyang, Liaoning, China|Qinghai University Affiliated Hospital, Xining, Qinghai, China|Jinan Central Hospital, Jinan, Shandong, China|Shanghai 6th People's Hospital Affiliated to Jiao Tong, Shanghai, Shanghai, China|The First Affiliated Hospital of Xi'an Medical University, XI 'an, Shanxi, China|Chongqing General Hospital, Chongqing, Yuzhong District, China|Peking Union Medical College Hospital, Beijing, China|Beijing Pinggu Hospital, Beijing, China|The Third Hospital of Nanchang, Nanchang, China|Pingxiang People's Hospital, Pingxiang, China|Shanghai Putuo District Center Hospital, Shanghai, China|Tianjin Medical University General Hospital, Tianjin, China|Unidad de patologia Clinica, Guadalajara, Jalisco, Mexico|Centro de Inv. Medica de Occidente, SC, Zapopan, Jalisco, Mexico|Hospital Universitario Dr. Jose Eleuterio Gonzalez, Monterrey, N.l., Mexico|Unidad Medica para la Salud Integral (UMSI), Monterrey, Nuevo León, Mexico",,"https://ClinicalTrials.gov/show/NCT03952143"
62,"NCT03952728","The Long-term Effects of an Intensive Lifestyle Intervention for Type 2 Diabetes on Medicare Outcomes",,"Active, not recruiting","No Results Available","Type 2 Diabetes Mellitus","Behavioral: Intensive lifestyle intervention|Behavioral: Diabetes support and education","Total inpatient (general hospital/acute care) discharges|Total inpatient (general hospital/acute care) days|Total number of emergency department visits|Medicare Part D Prescription Drug Fill Count|Total Medicare spending|Medicare inpatient payments|Medicare Part D drug payments|Medicare Part D drug costs|Medicare outpatient visits|Medicare hospital outpatient payments|Medicare Part B physician payments|Medicare SNF payments","University of Minnesota|University of Southern California|Wake Forest University","All","45 Years to 75 Years   (Adult, Older Adult)",,"3574","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","UP-16-00706","December 19, 2016","June 2021","June 2021","May 16, 2019",,"November 1, 2019",,,"https://ClinicalTrials.gov/show/NCT03952728"
63,"NCT03882970","A Study of Tirzepatide (LY3298176) Versus Insulin Degludec in Participants With Type 2 Diabetes","SURPASS-3","Active, not recruiting","No Results Available","Type 2 Diabetes Mellitus","Drug: Tirzepatide|Drug: Insulin Degludec","Change from Baseline in Hemoglobin A1c (HbA1c) (10 mg and 15 mg)|Change from Baseline in HbA1c|Change from Baseline in Body Weight|Change from Baseline in Fasting Serum Glucose|Percentage of Participants Achieving an HbA1c Target Value of <7%|Change from Baseline in 7-Point Self-Monitored Blood Glucose (SMBG) Values|Percentage of Participants who Achieved Weight Loss ≥5%|Change from Baseline in Diabetes Treatment Satisfaction as Measured by the Diabetes Treatment Satisfaction Questionnaire (DTSQ)|Rate of Documented Symptomatic Hypoglycemic Episodes","Eli Lilly and Company","All","18 Years and older   (Adult, Older Adult)","Phase 3","1420","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","16997|I8F-MC-GPGH|2018-003422-84","April 1, 2019","December 11, 2020","January 8, 2021","March 20, 2019",,"February 5, 2020","Arkansas Clinical Research, Little Rock, Arkansas, United States|Valley Research, Fresno, California, United States|National Research Institute, Huntington Park, California, United States|National Research Institute, Los Angeles, California, United States|Catalina Research Institute, LLC, Montclair, California, United States|Valley Clinical Trials, Inc., Northridge, California, United States|National Research Institute, Panorama City, California, United States|Encompass Clinical Research, Spring Valley, California, United States|University Clinical Investigators, Inc., Tustin, California, United States|Chase Medical Research, LLC, Waterbury, Connecticut, United States|Indago Research & Health Center, Inc., Hialeah, Florida, United States|East Coast Clinical Research, Jacksonville, Florida, United States|East Coast Institute For Research, Jacksonville, Florida, United States|Bayside Clinical Research, LLC, New Port Richey, Florida, United States|East Coast Institute For Research, Macon, Georgia, United States|Sky Clinical Research Network, Union City, Georgia, United States|Elite Clinical Trials LLLP, Blackfoot, Idaho, United States|Humphreys Diabetes Center, Boise, Idaho, United States|Rocky Mountain Diabetes and Osteoporosis Center, Idaho Falls, Idaho, United States|Springfield Diabetes & Endocrine Center, Springfield, Illinois, United States|Crescent City Clinical Research, Metairie, Louisiana, United States|Endocrine and Metabolic Consultants, Rockville, Maryland, United States|Troy Internal Medicine, PC, Troy, Michigan, United States|International Diabetes Center, Minneapolis, Minnesota, United States|Clinical Research Professionals, Chesterfield, Missouri, United States|Palm Research Center, Las Vegas, Nevada, United States|Palm Research Center, Las Vegas, Nevada, United States|Aventiv Research, Columbus, Ohio, United States|The Corvallis Clinic P.C., Corvallis, Oregon, United States|Heritage Valley Medical Group, Inc., Beaver, Pennsylvania, United States|Detweiler Family Medicine, Lansdale, Pennsylvania, United States|Office of Dr. Osvaldo Brusco, Corpus Christi, Texas, United States|Consano Clinical Research, Shavano Park, Texas, United States|Mautalen Salud e Investigación - Servicio de Endocrinología, Caba, Buenos Aires, Argentina|Investigaciones Medicas IMOBA S.R.L., Caba, Buenos Aires, Argentina|CEDIC-Centro de Investigaciones Clinicas, Caba, Buenos Aires, Argentina|Centro de Investigacion y Prevencion Cardiovascular (CIPREC), Ciudad Autonoma de, Buenos Aires, Argentina|CIPADI, Godoy Cruz, Mendoza, Argentina|AXISMED SRL - Bioclinica Research Network, Buenos Aires, Argentina|Centro Médico Viamonte, Ciudad Autonoma de Buenos Aire, Argentina|Instituto Centenario, Ciudad Autonoma de Buenos Aire, Argentina|CENUDIAB, Ciudad Autonoma de Buenos Aire, Argentina|Landesklinikum Korneuburg-Stockerau, Standort Stockerau, Stockerau, Niederösterreich, Austria|Universitätsklinikum Graz, Graz, Steiermark, Austria|Universitätsklinikum Salzburg, Salzburg, Austria|KA Rudolfstiftung, Wien, Austria|Iatriko Palaiou Falirou, Medical Center, Palaio Faliro, Athens, Greece|Laiko General Hospital of Athens, Ampelokipoi, Attica, Greece|Gen Hospital of Athens G Gennimatas, Athens, Attiki, Greece|General Hospital of Thessaloniki Papageorgiou, N. Efkarpia, Thessaloniki, Greece|Thermi Clinic, Thermi, Thessaloniki, Greece|Athens Euroclinic, Athens, Greece|University General Hospital of Larissa, Larissa, Greece|AHEPA Hospital, Thessaloniki, Greece|Ippokrateio General Hospital of Thessaloniki, Thessaloniki, Greece|Euromedica - General Clinic of Thessaloniki, Thessaloniki, Greece|Kenezy Gyula Korhaz es Rendelointezet, Debrecen, Hajdu-Bihar, Hungary|Szent Margit Rendelointezet, Budapest, Hungary|ClinDiab Kft., Budapest, Hungary|XIII.ker Onkormanyzat Egeszsegugyi Szolgalat, Budapest, Hungary|Strazsahegy Medicina Bt., Budapest, Hungary|TRANTOR 99 Bt., Budapest, Hungary|Kanizsai Dorottya Korhaz, Nagykanizsa, Hungary|Zala Megyei Szent Rafael Korhaz, Zalaegerszeg, Hungary|Azienda ospedaliero-universitaria Mater Domini, Germaneto, Catanzaro, Italy|Policlinico Univ. Agostino Gemelli, Roma, Lazio, Italy|Centro Cardiologico Monzino, IRCCS, Milano, MI, Italy|Azienda Ospedaliera Policlinico Consorziale, Bari, Italy|Azienda Ospedaliera Papa Giovanni XXIII, Bergamo, Italy|Ospedale Santa Maria Goretti, Latina, Italy|Bucheon St. Mary's Hospital, Bucheon,, Gyeonggi-do, Korea, Republic of|Seoul National University Bundang Hospital, Seongnam-si, Gyeonggi-do, Korea, Republic of|Hanyang University Guri Hospital, Guri-si, Gyeonggido, Korea, Republic of|Seoul St. Mary's Hospital, Seoul, Korea, Korea, Republic of|Korea University Ansan Hospital, Ansan-si, Korea, Republic of|Korea University Anam Hospital, Seoul, Korea, Republic of|Seoul National University Hospital, Seoul, Korea, Republic of|Severance Hospital Yonsei University Health System, Seoul, Korea, Republic of|Kyunghee University Hospital at Gangdong, Seoul, Korea, Republic of|Samsung Medical Center, Seoul, Korea, Republic of|Ambulatorium Barbara Bazela, Elblag, Warminsko-Mazurki, Poland|NZOZ ZDROWIE Osteo-Medic, Bialystok, Poland|Poradnia Diabetologiczna SN ZOZ Lege Artis, Bialystok, Poland|NZOZ Diab-Endo-Met, Krakow, Poland|Gabinet Lekarski Malgorzata Saryusz-Wolska, Lodz, Poland|Centrum Terapii Wspolczesnej J.M. Jasnorzewska S.K.A., Lodz, Poland|NZOZ Przychodnia Specjalistyczna MEDICA, Lublin, Poland|NZOZ Przychodnia Specjalistyczna Henryk RudzkiAndrzej Wittek, Ruda Slaska, Poland|Latin Clinical Trial Center, San Juan, Puerto Rico|GCM Medical Group PSC, San Juan, Puerto Rico|San Miguel Medical, Trujillo Alto, Puerto Rico|S. C. Grandmed S.R.L., Str., Oradea, Bihor, Romania|Spitalul Judetean de Urgenta Satu Mare, Satu-Mare, Jud Satu-Mare, Romania|SC Diamed Obesity SRL, Galati, Judetul Galati, Romania|CMI DNBM Dr. Pop Lavinia, Baia Mare, Maramures, Romania|Cosamext SRL, Targu Mures, Mures, Romania|Societatea Civila Medicala ""Dr. Paveliu"", Bucuresti, Sect.5, Romania|Centrul Medical de Diagnostic si Tratament Ambulatoriu Neomed SRL, Brasov, Romania|Cabinetul Medical Nicodiab SRL, Bucharest, Romania|SC Nutrilife SRL, Bucuresti, Romania|Consultmed SRL, Iasi, Romania|Hospital Infanta Luisa, Sevilla, Andalucía, Spain|Hospital Universitario Marques De Valdecilla, Santander, Cantabria, Spain|Hospital Universitario Quiron Madrid, Pozuelo de Alarcon, Madrid, Spain|Instituto de Ciencias medicas, Alicante, Spain|Hospital Clinico Universitario San Cecilio, Granada, Spain|Clinica Juaneda, Palma de Mallorca, Spain|Clinica Nuevas Tecnologias en Diabetes y Endocrinologia, Seville, Spain|Policlinica Galileo, Teruel, Spain|Changhua Christian Hospital, Changhua, Taiwan|Chang Gung Memorial Hospital - Kaohsiung, Kaohsiung City, Taiwan|Taipei Medical University- Shuang Ho Hospital, New Taipei, Taiwan|Chung Shan Medical University Hospital, Taichung City, Taiwan|Kuang Tien General Hospital, Taichung County, Taiwan|Taichung Veterans General Hospital, Taichung, Taiwan|Chi-Mei Medical Center, Tainan City, Taiwan|National Cheng Kung University Hospital, Tainan, Taiwan|Taipei Veterans General Hospital, Taipei, Taiwan|Dnipro City Clinical Hospital #9, Dnipro, Ukraine|V.P. Komisarenko Institute of Endocrinology and Metabolism of NAMS of Ukraine, Kyiv, Ukraine|Communal Institution ""Poltava Reg.Cl.H. n.a.M.V.Sklifosovskogo"", Poltava, Ukraine|Vinnytsia Regional Clinical Highly Specialized Endocrinology Center, Vinnytsia, Ukraine",,"https://ClinicalTrials.gov/show/NCT03882970"
64,"NCT03861039","A Long-term Safety Study of Tirzepatide (LY3298176) in Participants With Type 2 Diabetes",,"Active, not recruiting","No Results Available","Type 2 Diabetes Mellitus","Drug: Tirzepatide","Number of Participants with One or More Serious Adverse Event(s) (SAEs) Considered by the Investigator to be Related to Study Drug Administration|Change from Baseline in Hemoglobin A1c (HbA1c)|Percentage of Participants who Achieve HbA1c <7%|Change from Baseline in Fasting Serum Glucose|Change from Baseline in Average 7-Point Self-Monitored Blood Glucose (SMBG) Values|Change from Baseline in Body Weight|Percentage of Participants who Achieve Weight Loss of ≥5% from Baseline|Change from Baseline in Fasting Insulin|Change from Baseline in Fasting C-Peptide|Change from Baseline in Homeostasis Model Assessment B (HOMA-2B)|Change from Baseline in HOMA-2S|Rate of Total Hypoglycemia|Number of Participants with Anti-Tirzepatide Antibodies","Eli Lilly and Company","All","20 Years and older   (Adult, Older Adult)","Phase 3","441","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","17078|I8F-JE-GPGP","March 30, 2019","February 2, 2021","March 2, 2021","March 4, 2019",,"March 17, 2020","Akaicho Clinic, Chiba-shi, Chiba, Japan|Kashiwa hospital, Kashiwa, Chiba, Japan|Yuri Ono Clinic, Sapporo, Hokkaido, Japan|Manda Hospital, Sapporo, Hokkaido, Japan|Miyanomori Hospital, Sapporo, Hokkaido, Japan|Ikeda Hospital, Amagasaki, Hyogo, Japan|Nakamoto Naika Clinic, Mito, Ibaraki, Japan|Naka Memorial Clinic, Naka, Ibaraki, Japan|Ohishi Naika Clinic, Tsuchiura, Ibaraki, Japan|Takai Naika Clinic, Kamakura, Kanagawa, Japan|Tsuruma Kaneshiro Diabetes Clinic, Yamato, Kanagawa, Japan|Yokohama Minoru Clinic, Yokohama, Kanagawa, Japan|H.E.C. Science Clinic, Yokohama, Kanagawa, Japan|Takatsuki Red Cross Hospital, Takatsuki, Osaka, Japan|Otsu City Hospital, Otsu, Shiga, Japan|Wakakusa Clinic, Shimotsuke, Tochigi, Japan|Seiwa Clinic, Adachi-ku, Tokyo, Japan|HDC Atlas Clinic, Chiyoda, Tokyo, Japan|Asahi Life Foundation Adult Disease Research Center, Chuo-ku, Tokyo, Japan|Nihonbashi Sakura Clinic, Chuo-ku, Tokyo, Japan|Tokyo-Eki Center-building Clinic, Chuo-ku, Tokyo, Japan|Tokyo Center Clinic, Chuo-ku, Tokyo, Japan|Tokyo Clinical Trial Centre Fukuwa Clinic, Chuo-ku, Tokyo, Japan|Kanno Naika, Mitaka, Tokyo, Japan|Shinjuku Research Park Clinic, Shinjuku-Ku, Tokyo, Japan|Futata Tetsuhiro Clinic, Fukuoka, Japan|Morinaga Ueno Clinic, Kumamoto, Japan|Jinnouchi Hospital, Kumamoto, Japan|Abe Diabetes Clinic, Oita, Japan|Saiseikai Noe Hospital, Osaka, Japan|Kitada Clinic, Osaka, Japan|Kansai Denryoku Hospital, Osaka, Japan|Shizuoka City Shizuoka Hospital, Shizuoka, Japan|Suruga Clinic, Shizuoka, Japan",,"https://ClinicalTrials.gov/show/NCT03861039"
65,"NCT04014192","Effects of SGLT2 Inhibitors on Islet Cell Function and Insulin Sensitivity in Patients of Type 2 Diabetes Mellitus",,"Recruiting","No Results Available","Type 2 Diabetes Mellitus","Drug: Dapagliflozin|Drug: Empagliflozin|Drug: Canagliflozin","Change from baseline to post-treatment in insulin sensitivity.|Change from baseline to post-treatment in islet beta cell secretory function.|Change from baseline to post-treatment in islet alpha cell secretory function.|Change from baseline to post-treatment in weight.|Change from baseline to post-treatment in fasting blood glucose and non-fasting blood glucose.|Change from baseline to post-treatment in fasting insulin level.|Change from baseline to post-treatment in blood lipid including cholesterol, triglycerides, high-density lipoprotein cholesterol, low-density lipoprotein cholesterol.|Change from baseline to post-treatment in urine volume and urine glucose level.|Change from baseline to post-treatment in urinary output of uric acid, sodium, calcium, and phosphorus.","Peking Union Medical College Hospital","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 4","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Yuan-SGLT2","September 1, 2019","July 31, 2020","July 31, 2020","July 10, 2019",,"September 24, 2019","Peking Union Medical College Hospital, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT04014192"
66,"NCT03973515","Clinical Trial for the Investigational Drug (PB-201) in Subjects With Type 2 Diabetes Mellitus",,"Completed","No Results Available","Type2 Diabetes Mellitus","Drug: glucokinase activator|Drug: Placebo","Time to peak(Tmax)|Peak Plasma Concentration (Cmax)|Area under the plasma concentration versus time curve (AUC)|The change for fasting plasma glucose (FPG)|The change for postprandial plasma glucose (PPG)|The change for plasma C-peptide|The change for plasma insulin","PegBio Co., Ltd.","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","16","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","PB-201","August 27, 2019","December 19, 2019","December 19, 2019","June 4, 2019",,"January 22, 2020","Peking University Third Hospital, Beijing, China",,"https://ClinicalTrials.gov/show/NCT03973515"
67,"NCT03954834","A Study of Tirzepatide (LY3298176) in Participants With Type 2 Diabetes Not Controlled With Diet and Exercise Alone","SURPASS-1","Active, not recruiting","No Results Available","Type 2 Diabetes Mellitus","Drug: Tirzepatide|Drug: Placebo","Change from Baseline in Hemoglobin A1c (HbA1c)|Change from Baseline in Body Weight|Percentage of Participants with HbA1c Target Value of <7%|Change from Baseline in Fasting Serum Glucose|Percentage of Participants with HbA1c Target Value of <5.7%|Mean Change from Baseline in Daily Average 7-Point Self-Monitored Blood Glucose (SMBG) Values|Percentage of Participants who Achieved Weight Loss ≥5%|Rate of Documented Symptomatic Hypoglycemic Episodes|Pharmacokinetics (PK): Steady State Area Under the Concentration Time Curve (AUC) of Tirzepatide","Eli Lilly and Company","All","18 Years and older   (Adult, Older Adult)","Phase 3","472","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","17000|I8F-MC-GPGK","June 3, 2019","October 5, 2020","November 2, 2020","May 17, 2019",,"March 17, 2020","National Research Institute, Huntington Park, California, United States|National Research Institute, Los Angeles, California, United States|Catalina Research Institute, LLC, Montclair, California, United States|Valley Clinical Trials, Inc., Northridge, California, United States|National Research Institute, Panorama City, California, United States|Southern California Dermatology, Santa Ana, California, United States|Clinical Research of South Florida, Coral Gables, Florida, United States|Encore Medical Research, LLC, Hollywood, Florida, United States|Axcess Medical Research, Loxahatchee Groves, Florida, United States|South Florida Wellness & Clinical Research Institute, Margate, Florida, United States|Suncoast Research Group, LLC, Miami, Florida, United States|Agile Clinical Research Trials, Atlanta, Georgia, United States|Sky Clinical Research Network, Atlanta, Georgia, United States|Cotton O'Neil Clinic, Topeka, Kansas, United States|Clinical Research Professionals, Chesterfield, Missouri, United States|StudyMetrix Research, LLC, Saint Peters, Missouri, United States|Aventiv Research, Columbus, Ohio, United States|Intend Research, Norman, Oklahoma, United States|The Corvallis Clinic P.C., Corvallis, Oregon, United States|Heritage Valley Medical Group, Inc., Beaver, Pennsylvania, United States|Family Medical Associates, Levittown, Pennsylvania, United States|Preferred Primary Care Physicians, Pittsburgh, Pennsylvania, United States|Preferred Primary Care Physicians, Uniontown, Pennsylvania, United States|Dallas Diabetes Endocrine Center, Dallas, Texas, United States|Clinical Trials of Texas, Inc., San Antonio, Texas, United States|Consano Clinical Research, Shavano Park, Texas, United States|Capital Clinical Research Center, Olympia, Washington, United States|Rockwood Clinic Research Center, Spokane, Washington, United States|Dr. Jivraj Mehta Smarak Health Foundation, Ahmedabad, Gujarat, India|Bangalore Medical College and Research Institute, Bangalore, Karnataka, India|M S Ramaiah Medical College Hospital, Bangalore, Karnataka, India|BSES Municipal General Hsptl, Mumbai, Maharashtra, India|Ruby Hall Clinic and Grant Medical Foundation, Pune, Maharashtra, India|Vijay Vallabh Hospital, Virar, Maharashtra, India|Lifepoint Multispecialty Hsptl, Wakad, Pune, India|Ramdevrao Hospital, Hyderabad, Telangana, India|Gandhi Hospital, Telangana, India|Minamiakatsuka Clinic, Mito, Ibaraki, Japan|Takai Naika Clinic, Kamakura, Kanagawa, Japan|Tsuruma Kaneshiro Diabetes Clinic, Yamato, Kanagawa, Japan|Yokohama Minoru Clinic, Yokohama, Kanagawa, Japan|Takatsuki Red Cross Hospital, Takatsuki, Osaka, Japan|Meiwa Hospital, Chiyodaku, Tokyo, Japan|Tokyo-Eki Center-building Clinic, Chuo-ku, Tokyo, Japan|Tokyo Center Clinic, Chuo-ku, Tokyo, Japan|IHL Shinagawa East One Medical Clinic, Minato-ku, Tokyo, Japan|Sato Naika Clinic, Ota-ku, Tokyo, Japan|Hospital Universitario UANL, Monterrey, Nuevo León, Mexico|Unidad Medica para la Salud Integral (UMSI), Monterrey, Nuevo León, Mexico|Centro de Estudios de Investigacion Metabolicos y Cardiovasc, Madero, Tamaulipas, Mexico|Investigacion en Salud y Metabolismo S.C, Chihuahua, Mexico|Clinical Research Puerto Rico, Inc., San Juan, Puerto Rico|GCM Medical Group PSC, San Juan, Puerto Rico",,"https://ClinicalTrials.gov/show/NCT03954834"
68,"NCT04047537","Placebo-Controlled Clinical Nutrition Study of the Metabolic Effects of Food Product WBF-0011 in Type 2 Diabetes",,"Enrolling by invitation","No Results Available","Type 2 Diabetes Mellitus","Other: Medical Food Formulation 1|Other: Medical Food Formulation 2|Other: Placebo","Hemoglobin A1c|3-hour blood glucose Area Under the Curve (AUC)|3-hour plasma glucose AUC|3-hour blood glucose AUC|24-hour CGM|Fasting Lipid Panel|Body weight|Adverse Events|Change from baseline in Laboratory Chemistry Values|Change from baseline in Laboratory Complete Blood count Values","Pendulum Therapeutics","All","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","70","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Other","AFCRO-104","August 6, 2019","June 30, 2020","June 30, 2020","August 6, 2019",,"May 28, 2020","Atlantia Food Clinical Trials, 1st Floor, Block C, Heron House, Blackpool Retail Park, Cork, Ireland",,"https://ClinicalTrials.gov/show/NCT04047537"
69,"NCT03962010","A Phase 2, 12-Week, Double-Blind, Efficacy and Safety of GX-G6 in Patients With Uncontrolled Type 2 Diabetes Mellitus",,"Not yet recruiting","No Results Available","Type 2 Diabetes Mellitus","Drug: GX-G6|Drug: Control","Change in HbA1c","Genexine, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 2","78","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","GX-G6-002","June 1, 2019","June 1, 2022","July 1, 2022","May 23, 2019",,"May 23, 2019",,,"https://ClinicalTrials.gov/show/NCT03962010"
