"Rank","NCT Number","Title","Status","Study Results","Conditions","Interventions","First Posted","Locations","URL"
491,"NCT04432922","Perceptions, Representations and Experiences of Septic Isolation of Hospitalized Patients for COVID-19 Infection","Not yet recruiting","No Results Available","COVID19","Other: Hospitalized Patients for COVID-19 Infection","June 16, 2020","Centre hospitalier intercommunal de Villeneuve St Georges, Villeneuve St Georges, France","https://ClinicalTrials.gov/show/NCT04432922"
492,"NCT04424017","Sero-prevalence of Coronavirus Disease 2019 (COVID-19) in Healthcare Workers","Not yet recruiting","No Results Available","COVID|Corona Virus Infection","Biological: Specific anti-SARS-CoV-2 antibodies","June 9, 2020","Egypt Center for Research and Regenerative Medicine, Cairo, Egypt","https://ClinicalTrials.gov/show/NCT04424017"
493,"NCT04350684","Umifenovir in Hospitalized COVID-19 Patients","Enrolling by invitation","No Results Available","COVID-19","Drug: Umifenovir|Drug: Interferon-β 1a|Drug: Lopinavir / Ritonavir|Drug: Single Dose of Hydroxychloroquine|Drug: Standards of Care","April 17, 2020","Loghman Hakim Hospital, Shahid Beheshti University of Medical Sciences and Health Services, Tehran, Iran, Islamic Republic of","https://ClinicalTrials.gov/show/NCT04350684"
494,"NCT04351581","Effects of Discontinuing Renin-angiotensin System Inhibitors in Patients With COVID-19","Recruiting","No Results Available","Covid-19","Other: Discontinuation of ACEi/ARB|Other: Continuation of ACEi/ARB","April 17, 2020","Department of Medicine, Gentofte Hospital, University of Copenhagen, Hellerup, Capital Region Of Denmark, Denmark|Department of Medicine, Herlev Hospital, University of Copenhagen, Herlev, Capital Region Of Denmark, Denmark","https://ClinicalTrials.gov/show/NCT04351581"
495,"NCT04346420","Impact of the Double-Trunk Mask on Oxygenation Titration in COVID-19","Completed","No Results Available","COVID|Hypoxemia","Other: Standard interface|Device: Double-Trunk Mask","April 15, 2020","Cliniques universitaires Saint-Luc, Brussels, Brussels Capital, Belgium","https://ClinicalTrials.gov/show/NCT04346420"
496,"NCT04389359","PROphylaxis for paTiEnts at Risk of COVID-19 infecTion","Not yet recruiting","No Results Available","COVID-19","Drug: Hydroxychloroquine Sulfate 200 MG","May 15, 2020",,"https://ClinicalTrials.gov/show/NCT04389359"
497,"NCT04418518","A Trial of CONvalescent Plasma for Hospitalized Adults With Acute COVID-19 Respiratory Illness","Not yet recruiting","No Results Available","COVID-19","Biological: Convalescent plasma","June 5, 2020","Weill Cornell Medicine, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04418518"
498,"NCT04363372","A Study for Efficacy and Safety of Live Biotherapeutic MRx4DP0004 to Treat COVID-19","Not yet recruiting","No Results Available","COVID-19","Drug: MRx-4DP0004|Drug: Placebo","April 27, 2020",,"https://ClinicalTrials.gov/show/NCT04363372"
499,"NCT04399681","The Utility of Bedside Lung Ultrasonography on Diagnosis of COVID-19","Recruiting","No Results Available","COVID|Pneumonia, Viral","Device: Bedside lung ultrasound","May 22, 2020","Istanbul Kanuni Sultan Suleyman Training and Research Hospital, Istanbul, Turkey","https://ClinicalTrials.gov/show/NCT04399681"
500,"NCT04344561","Incline Positioning in COVID-19 Patients for Improvement in Oxygen Saturation","Recruiting","No Results Available","COVID|Hypoxic Respiratory Failure","Other: Postural Positioning","April 14, 2020","Johns Hopkins Bayview Hospital, Baltimore, Maryland, United States|Johns Hopkins Hospital, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT04344561"
501,"NCT04385160","Myeloproliferative Neoplasms (MPN) and COVID-19","Recruiting","No Results Available","Myeloproliferative Neoplasm|COVID",,"May 12, 2020","Mount Sinai Health System, New York, New York, United States|New York-Presbyterian/Weill Cornell Medical Center, New York, New York, United States|Zealand University Hospital, Køge, Denmark|Hopital Saint-Louis, Paris, France|University Medical Center RWTH, Aachen, Germany|University Clinic for Hematology, Oncology, Hemostaseology and Palliative Care, Johannes Wesling Medical Center, Minden, Germany|Ospedale San Gerardo di Monza, Monza, Monza Brianza, Italy|A.S.O. SS. Antonio e Biagio e C.Arrigo di Alessandria, Alessandria, Italy|Asl AT - Ospedale ""Cardinal Massaia"" di Asti, Asti, Italy|ASST-Papa Giovanni XXIII, Bergamo, Italy|Policlinico S.Orsola-Malpighi, Bologna, Italy|ASST-Spedali Civili, Brescia, Italy|AOU Ospedale Careggi, Firenze, Italy|Fondazione IRCCS Cà Granda Ospedale Maggiore Policlinico, Milano, Italy|Fondazione IRCCS Cà Granda Ospedale Maggiore Policlinico, Milano, Italy|IRCCS Ospedale San Raffaele, Milano, Italy|Azienda Ospedaliero Universitaria Maggiore della Carità, Novara, Italy|IRCCS Policlinico San Matteo, Pavia, Italy|Policlinico Universitario Fondazione Agostino Gemelli, Roma, Italy|A.O.U. Città della Salute e della Scienza di Torino, Torino, Italy|Ospedale Policlinico ""G.B. Rossi"" Borgo Roma, Verona, Italy|Ospedale San Bortolo, Vicenza, Italy|Hospital Clínic De Barcelona, Barcelona, Barcellona, Spain|Hospital del Mar, Barcelona, Barcellona, Spain|Institut Català d' Oncologia - Hospital Germans Trias i Pujol, Badalona, Barcelona, Spain|ICO L'Hospitalet - Hospital Moisès Broggi, Sant Joan Despí, Barcelona, Spain|Hospital Universitario Príncipe de Asturias, Alcalá De Henares, Madrid, Spain|Hospital General de La Palma, Breña Alta, Santa Cruz De Tenerife, Spain|Servicio de Hematología Hospital General Universitario de Albacete, Albacete, Spain|Hospital General de Elche, Alicante, Spain|Hospital Vall d'Hebron, Barcelona, Spain|Hospital Universitario de Burgos, Burgos, Spain|ICO Girona Hospital Josep Trueta Servei d'hematologia, Girona, Spain|FEA Hematología Hospital Universitario de Móstoles, Madrid, Spain|Hospital 12 de octubre, Madrid, Spain|Hospital Clínico San Carlos, Madrid, Spain|Hospital Gregorio Marañón, Madrid, Spain|Hospital Moncloa, Madrid, Spain|Hospital Ramón y Cajal, Madrid, Spain|Hospital Universitario La Paz, Madrid, Spain|Hospital Clínico Universitario, Valencia, Spain|Guy's and St. Thomas' NHS Foundation Trust., London, United Kingdom","https://ClinicalTrials.gov/show/NCT04385160"
502,"NCT04379466","Effector and Regulatory T Cell Receptor Repertoire Analyses in Patients Affected by COVID-19","Not yet recruiting","No Results Available","COVID-19",,"May 7, 2020",,"https://ClinicalTrials.gov/show/NCT04379466"
503,"NCT04408365","Endothelial Function, Inflammation and Organ Dysfunction in COVID-19","Not yet recruiting","No Results Available","COVID|Shock",,"May 29, 2020",,"https://ClinicalTrials.gov/show/NCT04408365"
504,"NCT04408339","COVID-19 in Cancer Patients: Evaluation of Clinical Course and Impact on Oncological Care Including Biobanking","Recruiting","No Results Available","Cancer|COVID","Other: No Intervention","May 29, 2020","University Hospital Hamburg Eppendorf, Hamburg, Germany","https://ClinicalTrials.gov/show/NCT04408339"
505,"NCT04377750","The Use of Tocilizumab in the Management of Patients Who Have Severe COVID-19 With Suspected Pulmonary Hyperinflammation","Recruiting","No Results Available","Covid19 Pneumonia","Drug: Tocilizumab","May 6, 2020","Hadassah Medical Orginisation, Jerusalem, Please Select:, Israel|Barzilai Medical Center, Ashkelon, Israel|Wolfson Medical Center, H̱olon, Israel|Sheba Medical Center, Ramat Gan, Israel","https://ClinicalTrials.gov/show/NCT04377750"
506,"NCT04377620","Assessment of Efficacy and Safety of Ruxolitinib in Participants With COVID-19-Associated ARDS Who Require Mechanical Ventilation (RUXCOVID-DEVENT)","Recruiting","No Results Available","COVID-19","Drug: Placebo|Drug: Ruxolitinib","May 6, 2020","Georgetown University Hospital, Washington, District of Columbia, United States|Tampa General Hospital, Tampa, Florida, United States|Indiana University Simon Cancer Center, Indianapolis, Indiana, United States|Boston Medical Center, Boston, Massachusetts, United States|Lahey Clinic Inc., Burlington, Massachusetts, United States|UMass MMC - University Campus, Worcester, Massachusetts, United States|Duke University Medical Center, Durham, North Carolina, United States|Jefferson Hospital, Philadelphia, Pennsylvania, United States|West Penn Hospital, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT04377620"
507,"NCT04347954","PVP-I Nasal Sprays and SARS-CoV-2 Nasopharyngeal Titers (for COVID-19)","Recruiting","No Results Available","COVID-19","Drug: Povidone-Iodine 2%|Drug: Povidone-Iodine 0.5%|Drug: Isotonic saline 0.9%","April 15, 2020","Stanford Health Care, Stanford, California, United States","https://ClinicalTrials.gov/show/NCT04347954"
508,"NCT04412291","A Study in Patients With COVID-19 and Respiratory Distress Not Requiring Mechanical Ventilation, to Compare Standard-of-care With Anakinra and Tocilizumab Treatment The Immunomodulation-CoV Assessment (ImmCoVA) Study","Recruiting","No Results Available","Covid-19","Drug: Anakinra Prefilled Syringe|Drug: Tocilizumab Prefilled Syringe|Drug: Standard-of-care treatment","June 2, 2020","Karolinska University Hospital, Huddinge, Stockholm, Sweden","https://ClinicalTrials.gov/show/NCT04412291"
509,"NCT04348461","BAttLe Against COVID-19 Using MesenchYmal Stromal Cells","Not yet recruiting","No Results Available","COVID|Respiratory Distress Syndrome","Drug: Allogeneic and expanded adipose tissue-derived mesenchymal stromal cells","April 16, 2020",,"https://ClinicalTrials.gov/show/NCT04348461"
510,"NCT04406493","Monitoring COVID-19 Patients' Lung Fluid Using Impedance Technique","Recruiting","No Results Available","ARDS|COVID","Diagnostic Test: Lung impedance technique","May 28, 2020","Hillel Yaffe MC,, Hadera, Israel","https://ClinicalTrials.gov/show/NCT04406493"
511,"NCT04338698","Hydroxychloroquine, Oseltamivir and Azithromycin for the Treatment of COVID-19 Infection: An RCT","Not yet recruiting","No Results Available","COVID 19","Drug: Hydroxychloroquine|Drug: Oseltamivir|Drug: Azithromycin","April 8, 2020",,"https://ClinicalTrials.gov/show/NCT04338698"
512,"NCT04354714","Ruxolitinib to Combat COVID-19","Withdrawn","No Results Available","COVID-19","Drug: Ruxolitinib|Procedure: Peripheral blood draw","April 21, 2020",,"https://ClinicalTrials.gov/show/NCT04354714"
513,"NCT04363060","Azithromycin+Amoxicillin/Clavulanate vs Amoxicillin/Clavulanate in COVID19 Patients With Pneumonia in Non-intensive Unit","Not yet recruiting","No Results Available","COVID-19 Pneumonia","Combination Product: Azithromycin with amoxicillin/clavulanate|Drug: amoxicillin/clavulanate","April 27, 2020","Chu Angers, Angers, France|CHD Vendée, La Roche-sur-Yon, France|CHU Poitiers, Poitiers, France","https://ClinicalTrials.gov/show/NCT04363060"
514,"NCT04361123","Atrium COVID-19 Syndromic and Serologic Surveillance","Enrolling by invitation","No Results Available","Coronavirus|COVID","Other: daily syndromic surveillance|Diagnostic Test: monthly serologic IgM/G test","April 24, 2020","Atrium Health, Charlotte, North Carolina, United States","https://ClinicalTrials.gov/show/NCT04361123"
515,"NCT04275947","The COVID-19 Mobile Health Study (CMHS)","Recruiting","No Results Available","COVID-19","Other: nCapp, a cell phone-based auto-diagnosis system","February 19, 2020","Renmin Hospital of Wuhan University, Wuhan, Hubei, China","https://ClinicalTrials.gov/show/NCT04275947"
516,"NCT04406532","Home-Based Covid-19 Rehabilitation Program","Not yet recruiting","No Results Available","Covid-19","Behavioral: PT-Pal|Behavioral: Self-guided exercises","May 28, 2020",,"https://ClinicalTrials.gov/show/NCT04406532"
517,"NCT04363866","A Pilot Study to Assess Hydroxychloroquine in Patients With SARS-CoV-2 (COVID-19)","Not yet recruiting","No Results Available","COVID-19|SARS-CoV-2","Drug: Hydroxychloroquine|Drug: Placebo","April 27, 2020","Oregon Health and Science University, Portland, Oregon, United States","https://ClinicalTrials.gov/show/NCT04363866"
518,"NCT04353206","Convalescent Plasma in ICU Patients With COVID-19-induced Respiratory Failure","Recruiting","No Results Available","Covid-19|Sars-CoV2","Biological: Multiple Doses of Anti-SARS-CoV-2 convalescent plasma","April 20, 2020","8700 Beverly Blvd., Los Angeles, California, United States|Johns Hopkins University, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT04353206"
519,"NCT04382625","Hydroxychloroquine in SARS-CoV-2 (COVID-19) Pneumonia Trial","Not yet recruiting","No Results Available","SARS-CoV-2 Pneumonia|COVID-19","Drug: Hydroxychloroquine","May 11, 2020","Kootenai Health, Coeur d'Alene, Idaho, United States","https://ClinicalTrials.gov/show/NCT04382625"
520,"NCT04386369","Evaluation of Airway Pressure Release Ventilation in COVID-19 ARDS","Completed","No Results Available","ARDS|COVID19","Other: Airway pressure release ventilation","May 13, 2020","Centre Hospitalier Régional Universitaire de Nancy, Nancy, France","https://ClinicalTrials.gov/show/NCT04386369"
521,"NCT04371965","Povidone Iodine Mouthwash, Gargle, and Nasal Spray to Reduce Naso- Pharyngeal Viral Load in Patients With COVID-19","Not yet recruiting","No Results Available","COVID-19","Drug: Povidone-Iodine","May 1, 2020","University Hospital of Poitiers, Poitiers, France","https://ClinicalTrials.gov/show/NCT04371965"
522,"NCT04435184","Crizanlizumab for Treating COVID-19 Vasculopathy","Not yet recruiting","No Results Available","COVID-19","Drug: Crizanlizumab|Other: 0.9% saline","June 17, 2020","Johns Hopkins Hospital, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT04435184"
523,"NCT04416256","COVID-19 Pandemic and Worldwide Organ Procurement","Recruiting","No Results Available","COVID-19",,"June 4, 2020","Paris Transplant Group, Paris, France","https://ClinicalTrials.gov/show/NCT04416256"
524,"NCT04330638","Treatment of COVID-19 Patients With Anti-interleukin Drugs","Recruiting","No Results Available","COVID-19","Other: Usual Care|Drug: Anakinra|Drug: Siltuximab|Drug: Tocilizumab","April 1, 2020","AZ Sint-Jan Brugge, Brugge, Belgium|University Hospital Saint-Pierre, Brussels, Belgium|Erasmus University Hospital, Brussels, Belgium|University Hospital Saint-Luc, Brussels, Belgium|University Hospital Antwerp, Edegem, Belgium|Ziekenhuis Oost-Limurg, Genk, Belgium|AZ Sint-Lucas, Gent, Belgium|University Hospital Ghent, Gent, Belgium|Jessa ZH, Hasselt, Belgium|University Hospital Brussels, Jette, Belgium|CHU Tivoli, La Louvière, Belgium|CHR de la Citadelle, Liège, Belgium|University Hospital Liège, Liège, Belgium|Cliniques Saint-Pierre Ottignies, Ottignies-Louvain-la-Neuve, Belgium|AZ Delta, Roeselare, Belgium","https://ClinicalTrials.gov/show/NCT04330638"
525,"NCT04368923","Management of Covid-19 Patients During Home Isolation","Active, not recruiting","No Results Available","Covid 19","Device: Oxygen Therapy|Procedure: Physical Therapy","April 30, 2020","M. Sedky, Cairo, Egypt","https://ClinicalTrials.gov/show/NCT04368923"
526,"NCT04436471","An Open Study of the Safety, Tolerability and Immunogenicity of the Drug ""Gam-COVID-Vac"" Vaccine Against COVID-19","Recruiting","No Results Available","Preventive Immunization COVID-19","Biological: Gam-COVID-Vac","June 18, 2020","Main military clinical hospital named after academician N. N. Burdenko, Moscow, Russian Federation","https://ClinicalTrials.gov/show/NCT04436471"
527,"NCT04344431","Management by Hyperbaric Oxygen Therapy of Patients With Hypoxaemic Pneumonia With SARS-CoV-2 (COVID-19)","Recruiting","No Results Available","Covid-19","Combination Product: Hyperbaric oxygen treatment (HBOT) i.e. inhalation of pressurized oxygen delivered by a hyperbaric chamber (drug/device)","April 14, 2020","Sainte Anne Military Teaching Hospital, Toulon, France","https://ClinicalTrials.gov/show/NCT04344431"
528,"NCT04404062","Validation of COVID-19 Tests","Active, not recruiting","No Results Available","COVID-19","Diagnostic Test: Covid-19 Rapid Test Kit (RAPG-COV-019)|Diagnostic Test: Quantitative IgG Test","May 27, 2020","Richmond Pharmacology Ltd. 1a Newcomen St, London Bridge, London, United Kingdom","https://ClinicalTrials.gov/show/NCT04404062"
529,"NCT04385940","Vitamin D and COVID-19 Management","Not yet recruiting","No Results Available","COVID-19","Dietary Supplement: Ddrops® products, 50,000 IU, Oral|Dietary Supplement: Vitamin D3","May 13, 2020",,"https://ClinicalTrials.gov/show/NCT04385940"
530,"NCT04347824","Predict Adverse Events by Covid-19 Nephritis","Recruiting","No Results Available","Covid-19",,"April 15, 2020","University Medical Center Goettingen, Göttingen, Germany","https://ClinicalTrials.gov/show/NCT04347824"
531,"NCT04425837","Effectiveness and Safety of Convalescent Plasma in Patients With High-risk COVID-19","Not yet recruiting","No Results Available","Sars-CoV2|Covid-19","Biological: SARS-CoV-2 convalescent plasma treatment|Other: Standard care","June 11, 2020","Fundación Santa Fe de Bogotá, Bogotá, Cundinamarca, Colombia","https://ClinicalTrials.gov/show/NCT04425837"
532,"NCT04308317","Tetrandrine Tablets Used in the Treatment of COVID-19","Enrolling by invitation","No Results Available","Corona Virus Disease 2019,COVID-19","Drug: Tetrandrine","March 16, 2020","Tetrandrine Tablets, Jinhua, Zhejiang, China","https://ClinicalTrials.gov/show/NCT04308317"
533,"NCT04341688","A Clinical Trial of Gargling Agents in Reducing Intraoral Viral Load Among COVID-19 Patients","Not yet recruiting","No Results Available","Covid-19","Drug: Gargle/Mouthwash","April 10, 2020",,"https://ClinicalTrials.gov/show/NCT04341688"
534,"NCT04408066","COVID-19: A POC Test Under Research & Evaluation","Recruiting","No Results Available","COVID-19","Diagnostic Test: Sample Collection/Performance Evaluation (A)|Diagnostic Test: Sample Collection/Performance Evaluation (B)","May 29, 2020","Barts Health NHS Trust, London, United Kingdom|Homerton University Hospital NHS Foundation Trust, London, United Kingdom|University College London Hospitals NHS Foundation Trust, London, United Kingdom","https://ClinicalTrials.gov/show/NCT04408066"
535,"NCT04337996","Dynamic Evaluation of COVID-19 Diagnostic Tests","Not yet recruiting","No Results Available","COVID-19","Diagnostic Test: COVID-19 diagnostic test","April 8, 2020",,"https://ClinicalTrials.gov/show/NCT04337996"
536,"NCT04394117","Controlled evaLuation of Angiotensin Receptor Blockers for COVID-19 respIraTorY Disease","Recruiting","No Results Available","SARS-Cov-2|COVID-19","Drug: Angiotensin Receptor Blockers","May 19, 2020","Royal Prince Alfred Hospital, Camperdown, New South Wales, Australia|Canterbury Hospital, Campsie, New South Wales, Australia|Concord Hospital, Concord, New South Wales, Australia|St George Hospital, Kogarah, New South Wales, Australia|Prince of Wales Hospital, Randwick, New South Wales, Australia|Royal North Shore Hospital, St Leonards, New South Wales, Australia","https://ClinicalTrials.gov/show/NCT04394117"
537,"NCT04394442","Hydroxychloroquine in COVID-19 Patients","Recruiting","No Results Available","COVID-19","Drug: Hydroxychloroquine","May 19, 2020","SNH, Mecca, Saudi Arabia","https://ClinicalTrials.gov/show/NCT04394442"
538,"NCT04361253","Evaluation of SARS-CoV-2 (COVID-19) Antibody-containing Plasma thErapy","Recruiting","No Results Available","COVID|Infectious Disease","Biological: High-Titer COVID-19 Convalescent Plasma (HT-CCP)|Biological: Standard Plasma (FFP)","April 24, 2020","Brigham and Women's Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT04361253"
539,"NCT04367545","Development of a Molecular Diagnostic Strategy for SARS-CoV2 Based on Saliva in the Context of the COVID-19 Pandemic","Recruiting","No Results Available","COVID|RT-ddPCR Multiplex","Diagnostic Test: Saliva collection","April 29, 2020","Rouen University Hospital, Rouen, France","https://ClinicalTrials.gov/show/NCT04367545"
540,"NCT04369742","Treating COVID-19 With Hydroxychloroquine (TEACH)","Suspended","No Results Available","COVID-19","Drug: Hydroxychloroquine (HCQ)|Other: Pacebo: Calcium citrate","April 30, 2020","State University of New York (SUNY) Downstate Medical Center, Brooklyn, New York, United States|NYU Langone Health, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04369742"
541,"NCT04368234","Duke COVID-19 Shared Data and Specimen Repository","Recruiting","No Results Available","COVID-19",,"April 29, 2020","Duke University Medical Center, Durham, North Carolina, United States","https://ClinicalTrials.gov/show/NCT04368234"
542,"NCT04422509","Lanadelumab for Treatment of COVID-19 Disease","Not yet recruiting","No Results Available","COVID-19","Biological: lanadelumab|Other: regular care","June 9, 2020","Jereoen Bosch hospital, 's-Hertogenbosch, Netherlands|Amsterdam UMC, Amsterdam, Netherlands|Rijnstate hospital, Arnhem, Netherlands|Tergooi ziekenhuizen, Blaricum, Netherlands|Amphia hospital, Breda, Netherlands|Haga hospital, Den Haag, Netherlands|Radboudumc, Nijmegen, Netherlands|Elisabeth-Tweesteden ziekenhuis, Tilburg, Netherlands|UMC Utrecht, Utrecht, Netherlands|Isala klinieken, Zwolle, Netherlands","https://ClinicalTrials.gov/show/NCT04422509"
543,"NCT04348942","A COVID-19 Symptom, Exposure and Immune Response Registry","Recruiting","No Results Available","COVID-19",,"April 16, 2020","ObvioHealth, Orlando, Florida, United States","https://ClinicalTrials.gov/show/NCT04348942"
544,"NCT04380519","Study of the Efficacy and Safety of a Single Administration of Olokizumab and RPH-104 With Standard Therapy in Patients With Severe Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection (COVID-19)","Recruiting","No Results Available","COVID-19","Biological: RPH-104 80 mg|Drug: Olokizumab 64 mg|Drug: Placebo","May 8, 2020","Federal State Budget Institution ""National Medical Surgery Center named after N.I. Pirogov"" of Ministry of Health of Russian Federation, Moscow, Russian Federation|State Budget Healthcare Institution ""City Clinical Hospital № 15 named after O.M. Filatov"" of Moscow City Healthcare Department, Moscow, Russian Federation|Federal State Budgetary Institution ""Federal Center for Cerebrovascular Pathology and Stroke"" of the Ministry of Health of the Russian Federation, Moscow, Russian Federation|Federal State Autonomous Education Insitution of High Education the First Moscow State Medical University named after I.M. Sechenov of Ministry of Healthcare of Russian Federation (Sechenov University), Moscow, Russian Federation|Federal State Budget Institution ""National Medicine Research Center on Cardiology"" By Ministry of Healthcare of Russian Federation, Moscow, Russian Federation|State Budget Institution of Healthcare ""City Clinical Hospital #52"", Moscow City Healthcare Department, Moscow, Russian Federation|Moscow State Budget Institution of Healthcare ""Scientific Research Institute of Emergency Medicine named after N.V. Sklifosovsky of Moscow Department of Healthcare"", Moscow, Russian Federation|State Budget Healthcare Institution ""City Clinical Hospital #40"", Moscow City Healthcare Department, ""Communarca"" Division, Moscow, Russian Federation|АО ""State Company ""Medsi"" based on Clinical Hospital №1"", Moscow, Russian Federation|Saint Petersburg State Budget Institution of Healthcare ""Clinical infectious diseases hospital named after S.P. Botkin"", Saint Petersburg, Russian Federation|Saint-Petersburg State Budget Institution of Healthcare ""City Hospital №40"", Saint Petersburg, Russian Federation","https://ClinicalTrials.gov/show/NCT04380519"
545,"NCT04405544","Determination of Acute Encephalopathy Predictors in Patients With COVID-19","Recruiting","No Results Available","Encephalopathy|COVID","Diagnostic Test: CT-scan|Diagnostic Test: EEG|Diagnostic Test: EP|Diagnostic Test: Pulse oximetry|Diagnostic Test: Blood tests","May 28, 2020","N.I. Pirogov National Medical and Surgical Center, Moscow, Russian Federation","https://ClinicalTrials.gov/show/NCT04405544"
546,"NCT04347278","Observational Study of Follow-up of Hospitalized Patients Diagnosed With COVID-19 to Evaluate the Effectiveness of the Drug Treatment Used to Treat This Disease. COVID-19 Registry","Recruiting","No Results Available","SARS-CoV-2","Drug: Patients with the treatment agains COVID19","April 15, 2020","Hospital Universitario Marqués de Valdecilla, Santander, Cantabria, Spain","https://ClinicalTrials.gov/show/NCT04347278"
547,"NCT04413045","Novel COVID-19, A National Analysis","Recruiting","No Results Available","COVID-19","Other: Prevalence of COVID-19","June 2, 2020","Assiut University Hospitals, Assiut, Egypt","https://ClinicalTrials.gov/show/NCT04413045"
548,"NCT04359797","COVID-19 Patient Positioning Pragmatic Trial","Enrolling by invitation","No Results Available","COVID-19","Other: Prone|Other: Usual Care","April 24, 2020","Vanderbilt University Medical Center, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT04359797"
549,"NCT04343690","COPING With COVID-19( CWC-19)","Not yet recruiting","No Results Available","COVID-19","Behavioral: Crisis management coaching","April 13, 2020","Duke University, Durham, North Carolina, United States","https://ClinicalTrials.gov/show/NCT04343690"
550,"NCT04389567","Famotidine Outpatient COVID-19 Treatment Study","Completed","No Results Available","COVID-19","Drug: Famotidine","May 15, 2020","Cold Spring Harbor Laboratory, Cold Spring Harbor, New York, United States","https://ClinicalTrials.gov/show/NCT04389567"
551,"NCT04387214","COVID-19 Pandemic and Academic Performance of Veterinary Students","Completed","No Results Available","COVID-19","Other: survey","May 13, 2020","South Valley University, Qinā, Egypt","https://ClinicalTrials.gov/show/NCT04387214"
552,"NCT04361214","Leflunomide in Mild COVID-19 Patients","Recruiting","No Results Available","COVID-19","Drug: Leflunomide","April 24, 2020","University of Chicago, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT04361214"
553,"NCT04337762","Beat COVID-19 - Observational Trial","Recruiting","No Results Available","COVID-19",,"April 8, 2020","Beat COIVD, LLC, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT04337762"
554,"NCT04380935","Effectiveness and Safety of Convalescent Plasma Therapy on COVID-19 Patients With Acute Respiratory Distress Syndrome","Not yet recruiting","No Results Available","COVID|Acute Respiratory Distress Syndrome","Biological: Convalescent plasma|Drug: Standard of care","May 8, 2020","Dr. Cipto Mangunkusumo General Hospital, Jakarta, DKI Jakarta, Indonesia|St. Carolus Hospital, Jakarta, DKI Jakarta, Indonesia|PELNI Hospital, Jakarta, DKI Jakarta, Indonesia","https://ClinicalTrials.gov/show/NCT04380935"
555,"NCT04389411","The COvid-19 Symptom MOntelukast Trial","Not yet recruiting","No Results Available","COVID-19","Drug: Montelukast 10mg","May 15, 2020",,"https://ClinicalTrials.gov/show/NCT04389411"
556,"NCT04448743","Role of Microparticles in Covid-19 Infection","Not yet recruiting","No Results Available","COVID-19","Other: Blood sample","June 26, 2020",,"https://ClinicalTrials.gov/show/NCT04448743"
557,"NCT04364594","COVID-19 Search in Conjunctival Cells","Active, not recruiting","No Results Available","COVID 19|Pulmonary Disease","Diagnostic Test: conjunctival swab","April 28, 2020","Maria Cristina Savastano, Roma, Italy","https://ClinicalTrials.gov/show/NCT04364594"
558,"NCT04423978","Implications of Covid-19 on the Lifestyle Changes","Recruiting","No Results Available","COVID-19",,"June 9, 2020","Elisa Mazzini, Reggio Emilia, Italy","https://ClinicalTrials.gov/show/NCT04423978"
559,"NCT04353596","Stopping ACE-inhibitors in COVID-19","Recruiting","No Results Available","SARS-CoV-2|COVID-19","Drug: ACE inhibitor, angiotensin receptor blocker","April 20, 2020","Medical University Innsbruck, University Hospital of Internal Medicine III, Innsbruck, Tyrol, Austria|Landeskrankenhaus Hall, Hall In Tirol, Austria|Medical University Innsbruck, Intensive Care and Emergency Medicine Department, Innsbruck, Austria|Medical University Innsbruck, University Hospital of Internal Medicine II, Innsbruck, Austria|Medical University Innsbruck, University Hospital of Internal Medicine IV, Innsbruck, Austria|Medical University Innsbruck, University Hospital of Internal Medicine I, Innsbruck, Austria|Medical University Innsbruck, University Hospital of Internal Medicine V, Innsbruck, Austria|Klinikum Klagenfurt, Klagenfurt, Austria|Bezirkskrankenhaus Kufstein, Kufstein, Austria|Bezirkskrankenhaus St. Johann, Sankt Johann In Tirol, Austria|Bezirkskrankenhaus Schwaz, Schwaz, Austria|Krankenhaus St. Vinzenz Zams, Zams, Austria|LMU Klinikum, Medizinische Klinik I, Munich, Bavaria, Germany|Asklepios Stadtklinik Bad Tölz, Bad Tölz, Germany|Klinikum Landkreis Erding, Erding, Germany|Klinikum Memmingen, Memmingen, Germany|Deutsches Herzzentrum München, Munich, Germany|Klinikum rechts der Isar, Medizinische Klinik und Poliklinik I, Munich, Germany|LMU Klinikum, Medizinische Klinik III, Munich, Germany|LMU Klinikum, Medizinische Klinik II, Munich, Germany|LMU Klinikum, Medizinische Klinik IV, Munich, Germany|München Klinik Bogenhausen und Schwabing, Munich, Germany|Universitätsklinik der Paracelsus Medizinischen Privatuniversität, Nürnberg, Germany|Klinikum Starnberg, Starnberg, Germany|Klinik für Innere Medizin Weilheim, Weilheim, Germany","https://ClinicalTrials.gov/show/NCT04353596"
