"Rank","Title","Status","Study Results","Conditions","Interventions","Sponsor/Collaborators","Other IDs","First Posted","Locations","URL"
356,"16α-18F-fluor-17β-estradiol PET/CT for Visualisation of Estrogen Receptor Positive Liver Metastases From Breast Cancer","Not yet recruiting","No Results Available","Breast Cancer","Radiation: 16α-18F-fluor-17β-estradiol","University of Aarhus|GCP-unit at Aarhus University Hospital, Aarhus, Denmark|REDCap","2020FES","November 5, 2019",,"https://ClinicalTrials.gov/show/NCT04150731"
357,"MACSSI (MAstectomie Cellules Souches Surveillance Immunitaire)","Not yet recruiting","No Results Available","Breast Cancer","Other: Characterization of breast stem & immune system cells infiltrated in the mammary gland","Centre Leon Berard","ET18-150 - MACSSI","March 12, 2019","Centre Léon Bérard, Lyon, France","https://ClinicalTrials.gov/show/NCT03870802"
358,"IMpact of Breast cAncer Gene Status on Survival in Adjuvant Breast Cancer (IMBASSA)","Completed","No Results Available","Breast Cancer|BRCA1 Mutation|BRCA2 Mutation","Genetic: BRCA mutation","Centre Hospitalier Universitaire de Besancon","P/2016/291","July 9, 2019","University Hospital Jean Minjoz, Besançon, Franche-Comté, France","https://ClinicalTrials.gov/show/NCT04012229"
359,"A Pilot Study of Tomographic Optical Breast Imaging (DBT-TOBI) to Monitor Response to Neoadjuvant Therapy","Recruiting","No Results Available","Breast Cancer","Device: DBT-TOBI|Device: MRI-TOBI","Massachusetts General Hospital|National Cancer Institute (NCI)","18-333|1R01CA187595","January 30, 2019","Massachusetts General Hospital Cancer Center, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT03822312"
360,"Association of Hepatitis C Virus With Breast Cancer","Active, not recruiting","No Results Available","Breast Cancer|Hepatitis C",,"Mansoura University","R.18.02.34.R1.R2","September 16, 2019","Mansoura University Oncology Center, Mansourah, DK, Egypt","https://ClinicalTrials.gov/show/NCT04090164"
361,"Evaluation of Sexual Quality of Life for Breast Cancer","Not yet recruiting","No Results Available","Breast Cancer|Cancer|Quality of Life","Other: Quality of life","Institut du Cancer de Montpellier - Val d'Aurelle","PROICM 2019-16-BCU","December 16, 2019","Institut régional du Cancer de Montpellier, Montpellier, France","https://ClinicalTrials.gov/show/NCT04200001"
362,"Effect of PACK Health Support Program on Patient Reported Outcomes in Patients With Breast Cancer","Recruiting","No Results Available","Breast Carcinoma","Other: Best Practice|Other: Medical Chart Review|Other: Quality-of-Life Assessment|Other: Questionnaire Administration|Procedure: Supportive Care","M.D. Anderson Cancer Center|National Cancer Institute (NCI)|Genentech, Inc.","2018-0473|NCI-2019-03897|P30CA016672","July 17, 2019","M D Anderson Cancer Center, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT04022772"
363,"Sulfasalazine in Decreasing Opioids Requirements in Breast Cancer Patients","Not yet recruiting","No Results Available","Breast Cancer|Chronic Pain Due to Malignancy (Finding)","Drug: Sulfasalazine|Drug: Placebos","University of Arizona","1605576856","February 20, 2019","Banner University Medical Center South, Tucson, Arizona, United States","https://ClinicalTrials.gov/show/NCT03847311"
364,"Patients' Preferences for Adjuvant Endocrine Therapy in Early Breast Cancer","Recruiting","No Results Available","Breast Cancer|Endocrine Breast Diseases","Other: Completion of questionnaires","European Institute of Oncology","IEO 0837/","May 6, 2019","European Institute of Oncology, Milan, Italy","https://ClinicalTrials.gov/show/NCT03939156"
365,"Establishment of Molecular Profiling for Individual Clinical Routine Treatment Decision in Early Breast Cancer","Recruiting","No Results Available","Breast Cancer|Breast Neoplasms|Hormone Receptor Positive Tumor","Diagnostic Test: Multi-parameter tests","Oslo University Hospital|KLINBEFORSK|Norwegian Cancer Society","Protocol EMIT-1","April 5, 2019","Drammen Hospital - Vestre Viken, Drammen, Buskerud, Norway|Østfold Hospital, Sarpsborg, Kalnes, Norway|Telemark Hospital, Skien, Ulefossveien 55, Norway|Haukeland University Hospital, Bergen, Norway|Oslo University Hospital, Oslo, Norway","https://ClinicalTrials.gov/show/NCT03904173"
366,"Palbociclib, Letrozole & Venetoclax in ER and BCL-2 Positive Breast Cancer","Recruiting","No Results Available","Breast Neoplasm Female","Drug: Venetoclax|Drug: Palbociclib|Drug: Letrozole","Peter MacCallum Cancer Centre, Australia","18/028","April 3, 2019","Peter MacCallum Cancer Centre, Melbourne, Victoria, Australia|Royal Melbourne Hospital, Melbourne, Victoria, Australia|Austin Health, Melbourne, Victoria, Australia","https://ClinicalTrials.gov/show/NCT03900884"
367,"Effects of Computer-Assisted Cognitive Rehabilitation Programs With Breast Cancer Survivors","Recruiting","No Results Available","Cognitive Impairment|Breast Cancer","Behavioral: computer-assisted rehabilitation","Texas Woman's University","19959","July 22, 2019","Texas Woman's University, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT04027400"
368,"Eurythmy Therapy (ERYT) as a Treatment Option for Fatigue in Metastatic Breast Cancer Patients","Recruiting","No Results Available","Fatigue|Breast Cancer","Other: Eurythmy therapy|Other: CoordiFit","University of Bern|Breast Cancer Research Foundation","123123","July 18, 2019","University Hospital Bern, Bern, Switzerland","https://ClinicalTrials.gov/show/NCT04024267"
369,"Sleep and Activity Patterns in Pre-menopausal Breast Cancer Patients on Tamoxifen Using a Wrist-worn Internet of Things Device","Recruiting","No Results Available","Sleep Disorder|Breast Cancer","Drug: Tamoxifen Oral Tablet","Samsung Medical Center","SMC 2018-07-014-011","October 7, 2019","Samsung Medical Center, Seoul, Korea, Republic of","https://ClinicalTrials.gov/show/NCT04116827"
370,"Stress Reactivity Among African American Breast Cancer Survivors","Recruiting","No Results Available","Breast Cancer Female|Stress Reaction",,"Medical University of South Carolina","AABCSR","March 19, 2019","Medical University of South Carolina, Charleston, South Carolina, United States","https://ClinicalTrials.gov/show/NCT03881085"
371,"Light-CT in the Diagnosis of Breast Tumor and Lymph Node","Recruiting","No Results Available","Breast Neoplasms","Diagnostic Test: Light-CT","Peking University People's Hospital","LightCT-PKUPH","January 3, 2019","Breast Center, Peking University People's Hospital, Beijing, Beijing, China","https://ClinicalTrials.gov/show/NCT03791853"
372,"Evaluation of Prognostic Factors: From Breast Cancer to Bone Metastases","Recruiting","No Results Available","Breast Cancer Metastatic|Bone Metastases","Other: Bone metastasis|Other: Breast cancer metastatic to bone","Istituto Ortopedico Galeazzi","BC-BOMET","November 19, 2019","IRCCS Istituto Ortopedico Galeazzi, Milan, Italy","https://ClinicalTrials.gov/show/NCT04167605"
373,"Efficacy and Safety of 4.5mg PEG-rhG-CSF Per Cycle in Preventing Neutropenia After Intensive Chemotherapy for Breast Cancer","Not yet recruiting","No Results Available","Breast Cancer|Neutropenia","Drug: PEG-rhG-CSF","Peking University","BC-P26","July 8, 2019",,"https://ClinicalTrials.gov/show/NCT04009941"
374,"Effectiveness of Stellate Ganglion Block in Breast Cancer Related Lymphedema","Enrolling by invitation","No Results Available","Lymphedema of Upper Limb|Breast Cancer Related Lymphedema","Combination Product: bupivacaine and triamcinolone","Marmara University","09.2019.984","November 18, 2019","Canan Şanal-Toprak, İstanbul, Turkey","https://ClinicalTrials.gov/show/NCT04165512"
375,"Neoadjuvant Study of Abemaciclib, Durvalumab, and an Aromatase Inhibitor Early Stage Breast Cancer","Not yet recruiting","No Results Available","Breast Cancer Female|Locally Advanced Breast Cancer|Hormone Receptor Positive Malignant Neoplasm of Breast","Drug: Abemaciclib, durvalumab and aromatase inhibitor","Alison Stopeck|Eli Lilly and Company|AstraZeneca|Stony Brook University","2019-00174 Neoadj Breast Pilot","September 12, 2019","Stony Brook University Cancer Center, Stony Brook, New York, United States","https://ClinicalTrials.gov/show/NCT04088032"
376,"ATRA Trial - ACTIVITY OF ATRA IN COMBINATION WITH ANASTROZOLE IN PRE-OPERATIVE PHASE OF OPERABLE HR-POSITIVE/HER2-NEGATIVE EARLY BREAST CANCER eBC ATRA TRIAL","Recruiting","No Results Available","Breast Neoplasm Female","Drug: all-trans retinoic acid|Drug: Anastrozole 1mg","Mario Negri Institute for Pharmacological Research","RF-2016-02362383","October 3, 2019","ASST Papa Giovanni XXIII, Bergamo, Italy","https://ClinicalTrials.gov/show/NCT04113863"
377,"Ribociclib-endocrine Combination Therapy Versus Chemotherapy as 1st Line in Visceral mBC","Recruiting","No Results Available","Breast Cancer","Drug: Ribociclib|Other: Mono-chemotherapy|Other: Endocrine-Therapy","Swiss Group for Clinical Cancer Research|The Belgian Society of Medical Oncology","SAKK 21/18|2018-003648-22","April 5, 2019","Kantonsspital Baden, Baden, Switzerland|Kantonsspital Baden, Baden, Switzerland|Universitaetsspital-Basel, Basel, Switzerland|Brustzentrum Basel - Praxis für ambulante Tumortherapie, Basel, Switzerland|Istituto Oncologico della Svizzera Italiana - Ospedale Regionale Bellinzona e Valli, Bellinzona, Switzerland|Inselspital Bern, Bern, Switzerland|Kantonsspital Graubuenden, Chur, Switzerland|Clinique des Grangettes, Chêne-Bougeries, Switzerland|Hôpital neuchâtelois, La Chaux-de-Fonds, Switzerland|Centre Hospitalier Universitaire Vaudois, Lausanne, Switzerland|Kantonsspital Liestal, Liestal, Switzerland|Kantonsspital Luzern, Luzern, Switzerland|Hirslanden Klinik St. Anna Luzern, Luzern, Switzerland|Onkologie Zentrum Spital Männedorf, Männedorf, Switzerland|Kantonsspital Olten, Olten, Switzerland|Hôpital de Sion, Sion, Switzerland|Brustzentrum Ostschweiz, St. Gallen, Switzerland|Kantonsspital - St. Gallen, St. Gallen, Switzerland|Spital STS AG, Thun, Switzerland|Kantonsspital Winterthur, Brustzentrum, Winterthur, Switzerland|Onkologie Bellevue, Zurich, Switzerland|OnkoZentrum Zürich AG - Klinik im Park, Zürich, Switzerland|Universitäts Spital Zürich, Zürich, Switzerland","https://ClinicalTrials.gov/show/NCT03905343"
378,"Barriers Associated With Timely Adjuvant Chemotherapy Administration in Patients With Invasive Breast Cancer","Recruiting","No Results Available","Invasive Breast Carcinoma","Other: Interview|Other: Medical Chart Review|Behavioral: Questionnaire","M.D. Anderson Cancer Center|National Cancer Institute (NCI)","2018-1133|NCI-2019-05917|P30CA016672","September 12, 2019","M D Anderson Cancer Center, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT04087057"
379,"Ipatasertib in Combination With Carboplatin, Carboplatin/Paclitaxel, or Capecitabine/Atezolizumab in Treating Patients With Metastatic Triple Negative Breast Cancer","Recruiting","No Results Available","Anatomic Stage IV Breast Cancer AJCC v8|Metastatic Triple-Negative Breast Carcinoma|Prognostic Stage IV Breast Cancer AJCC v8","Drug: Atezolizumab|Drug: Capecitabine|Drug: Carboplatin|Drug: Ipatasertib|Drug: Paclitaxel|Other: Quality-of-Life Assessment|Other: Questionnaire Administration","City of Hope Medical Center|National Cancer Institute (NCI)","18496|NCI-2019-00465","February 26, 2019","City of Hope Medical Center, Duarte, California, United States","https://ClinicalTrials.gov/show/NCT03853707"
380,"Safety of Lower Scalp Cooling Temperature to Prevent Hair Loss From Chemotherapy in Breast Cancer Patients","Recruiting","No Results Available","Breast Cancer|Breast Cancer Stage I|Breast Cancer Stage II|Breast Cancer Stage III","Device: PAXMAN Scalp Cooler","Memorial Sloan Kettering Cancer Center","19-277","November 27, 2019","Memorial Sloan Kettering Cancer Center, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04180579"
381,"FATLAS: Comprehensive Multi-level Characterization of Systemic and Mammary Adiposity in Breast Cancer Patients.","Not yet recruiting","No Results Available","Breast Neoplasms","Other: Prospective data and sample collection","Universitaire Ziekenhuizen Leuven|KU Leuven","S63330","December 16, 2019","UZ Leuven, Leuven, Belgium","https://ClinicalTrials.gov/show/NCT04200768"
382,"Tomosynthesis vs. Contrast-Enhanced Mammography in Women With Personal History of Breast Cancer in Western Pennsylvania","Recruiting","No Results Available","Breast Cancer Female|Breast Cancer|Breast Neoplasms|Neoplasms","Device: Contrast-enhanced mammogram","Wendie Berg|Breast Cancer Research Foundation|University of Pittsburgh","STUDY19060359","September 11, 2019","Magee Womancare Passavant Cranberry, Cranberry Township, Pennsylvania, United States|Magee Womancare Monroeville, Monroeville, Pennsylvania, United States|Magee Womens Hospital, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT04085510"
383,"FSRT in Breast Cancer Patients With Brain Metastases","Recruiting","No Results Available","Breast Cancer|Brain Metastases","Radiation: Fractionated stereotactic radiotherapy(FSRT)","Fudan University","FDRT-BC009","August 19, 2019","Fudan University Shanghai Cancer Center, Shanghai, China","https://ClinicalTrials.gov/show/NCT04061408"
384,"Intravenous Chemotherapy and Plant-based Dietary Supplements","Recruiting","No Results Available","Breast Cancer","Other: dietary supplements questionary","Institut Cancerologie de l'Ouest","ICO-N-2018-12|2018-A02460-55","May 22, 2019","Institut de Cancerologie de L'Ouest, Saint Herblain, France","https://ClinicalTrials.gov/show/NCT03959618"
385,"BreCLIM-2 - A RCT Investigating Local Treatment for Breast Cancer Liver Metastases","Recruiting","No Results Available","Breast Cancer|Liver Metastases","Procedure: Surgical intervention|Drug: Control","Umeå University|Uppsala University|Karolinska Institutet|Linkoeping University|Lund University|Göteborg University","BreCLIM-2018-116-31M","September 6, 2019","Umeå University Hospital, Umeå, Sweden","https://ClinicalTrials.gov/show/NCT04079049"
386,"Circulating Tumor Cell Detection in Patients With Luminal A Breast Cancer","Recruiting","No Results Available","Breast Neoplasms","Procedure: PET-CT examination|Procedure: Peripheral blood detection","Shengjing Hospital","Shengjing-LJY04","August 22, 2019","Shengjing Hospital of China Medical University, Shenyang, Liaoning, China","https://ClinicalTrials.gov/show/NCT04065321"
387,"Pyrotinib Combined With Docetaxel in the First-line Treatment of HER2-positive MBC","Not yet recruiting","No Results Available","Metastatic Breast Cancer","Drug: Pyrotinib Maleate combine with Docetaxel","Zhejiang Cancer Hospital|Jiangsu HengRui Medicine Co., Ltd.","HR-BLTN-001","March 15, 2019","Zhejiang Cancer Hospital, Hangzhou, Zhejiang, China","https://ClinicalTrials.gov/show/NCT03876587"
388,"Feasibility Study: Yoga Educational Project","Completed","No Results Available","Breast Cancer","Behavioral: educational yoga program","Institut du Cancer de Montpellier - Val d'Aurelle","PROICM 2018-02 SKY|2018-A00208-47","June 28, 2019","Institut du Cancer de Montpellier, Montpellier, France","https://ClinicalTrials.gov/show/NCT04001751"
389,"Real-world Treatment Patterns and Effectiveness of Palbociclib and AI Therapy","Active, not recruiting","No Results Available","Breast Cancer","Drug: Palbociclib + an aromatase inhibitor|Drug: Palbociclib + Letrozole|Drug: Letrozole","Pfizer","A5481122","November 25, 2019","Pfizer, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04176354"
390,"Study of Olaparib Plus Pembrolizumab Versus Chemotherapy Plus Pembrolizumab After Induction With First-Line Chemotherapy Plus Pembrolizumab in Triple Negative Breast Cancer (TNBC) (MK-7339-009/KEYLYNK-009)","Recruiting","No Results Available","Triple Negative Breast Neoplasms","Biological: Pembrolizumab|Drug: Olaparib|Drug: Carboplatin|Drug: Gemcitabine","Merck Sharp & Dohme Corp.","7339-009|2019-001892-35|MK-7339-009|KEYLYNK-009|195082","December 9, 2019","Pacific Cancer Care ( Site 0142), Monterey, California, United States|John Wayne Cancer Institute ( Site 0111), Santa Monica, California, United States|St. Joseph Heritage Healthcare ( Site 0104), Santa Rosa, California, United States|Virginia Piper Cancer Institute ( Site 0157), Minneapolis, Minnesota, United States|The Center For Cancer And Blood Disorders ( Site 0151), Fort Worth, Texas, United States|Renovatio Clinical ( Site 0117), The Woodlands, Texas, United States|YVMH dba Vrigina Mason Memorial/North Star Lodge Cancer Center ( Site 0128), Yakima, Washington, United States|Princess Margaret Cancer Centre ( Site 0005), Toronto, Ontario, Canada|McGill University Health Centre ( Site 0002), Montreal, Quebec, Canada|Sociedad de Investigaciones Medicas Limitadas ( Site 0510), Temuco, Araucania, Chile|IC La Serena Research ( Site 0511), La Serena, Coquimbo, Chile|Fundacion Arturo Lopez Perez ( Site 0500), Santiago, Region Metropolitana De Santiago, Chile|Pontificia Universidad Catolica de Chile ( Site 0501), Santiago, Region Metropolitana De Santiago, Chile|Oncocentro ( Site 0502), Vina del Mar, Valparaiso, Chile|Fundacion Colombiana de Cancerologia Clinica Vida ( Site 0601), Medellin, Antioquia, Colombia|Clinica de la Costa Ltda. ( Site 0600), Barranquilla, Atlantico, Colombia|Organizacion Clinica Bonnadona-Prevenir S.A.S. ( Site 0609), Barranquilla, Atlantico, Colombia|Oncomedica S.A. ( Site 0606), Monteria, Cordoba, Colombia|Hemato Oncologos S.A. ( Site 0603), Cali, Valle Del Cauca, Colombia|Fundacion Valle del Lili ( Site 0602), Cali, Villa Del Cauca, Colombia|CHU-Jean Minjoz ( Site 1013), Besancon, Doubs, France|Institut Claudius Regaud IUCT Oncopole ( Site 1001), Toulouse, Haute-Garonne, France|Centre Jean Perrin ( Site 1003), Clermont-Ferrand Cedex 01, Puy-de-Dome, France|Centre Henri Becquerel ( Site 1020), Rouen, Seine-Maritime, France|CHU Amiens Hopital Sud ( Site 1023), Amiens, Somme, France|Gynaekologisches Zentrum-Schwerpunkt Gyn. Onkologie ( Site 1205), Bonn, Nordrhein-Westfalen, Germany|Universitaetsklinikum Carl Gustav Carus ( Site 1203), Dresden, Sachsen, Germany|Bacs-Kiskun Megyei Korhaz ( Site 1608), Kecskemet, Bacs-Kiskun, Hungary|Pecsi Tudomanyegyetem Klinikai Kozpont ( Site 1607), Pecs, Baranya, Hungary|Jasz Nagykun Szolnok Megyei Hetenyi Geza Korhaz Rendelointezet ( Site 1601), Szolnok, Jasz-Nagykun-Szolnok, Hungary|Orszagos Onkologiai Intezet ( Site 1602), Budapest, Hungary|Debreceni Egyetem Klinikai Kozpont ( Site 1600), Debrecen, Hungary|Somogy Megyei Kaposi Mor Oktato Korhaz ( Site 1604), Kaposvar, Hungary|Zala Megyei Szent Rafael Korhaz ( Site 1605), Zalaegerszeg, Hungary|Aichi Cancer Center Hospital ( Site 2202), Nagoya, Aichi, Japan|Hyogo College of Medicine Hospital ( Site 2203), Nishinomiya, Hyogo, Japan|Fukushima Medical University Hospital ( Site 2201), Fukushima, Japan|Hiroshima City Hiroshima Citizens Hospital ( Site 2204), Hiroshima, Japan|National Hospital Organization Osaka National Hospital ( Site 2200), Osaka, Japan|Gachon University Gil Medical Center ( Site 2408), Incheon, Incheon-gwangyeoksi [Incheon], Korea, Republic of|National Cancer Center ( Site 2406), Goyang-si, Kyonggi-do, Korea, Republic of|Seoul National University Bundang Hospital ( Site 2409), Seongnam-si, Kyonggi-do, Korea, Republic of|Ajou University Hospital ( Site 2407), Suwon-si, Kyonggi-do, Korea, Republic of|Seoul National University Hospital ( Site 2403), Seoul, Seoul-teukbyeolsi [Seoul], Korea, Republic of|Severance Hospital Yonsei University Health System ( Site 2401), Seoul, Seoul-teukbyeolsi [Seoul], Korea, Republic of|Asan Medical Center ( Site 2404), Seoul, Seoul-teukbyeolsi [Seoul], Korea, Republic of|Samsung Medical Center ( Site 2405), Seoul, Seoul-teukbyeolsi [Seoul], Korea, Republic of|Kyungpook National University Chilgok Hospital ( Site 2402), Daegu, Taegu-Kwangyokshi, Korea, Republic of|Regionalny Szpital Specjalistyczny Latawiec ( Site 1917), Swidnica, Dolnoslaskie, Poland|Pratia MCM Krakow ( Site 1919), Krakow, Malopolskie, Poland|Narodowy Instytut Onkologii im. Marii Sklodowskiej-Curie ( Site 1908), Warszawa, Mazowieckie, Poland|Szpital Morski im. PCK. Szpitale Pomorskie Sp. Z o.o ( Site 1913), Gdynia, Pomorskie, Poland|Narodowy Instytut Onkologii im. Marii Sklodowskiej-Curie ( Site 1912), Gliwice, Slaskie, Poland|Pleszewskie Centrum Medyczne w Pleszewie Sp. z o.o. ( Site 1909), Pleszew, Wielkopolskie, Poland|Instituto Oncologico Baselga.Hospital Quiron. ( Site 0707), Barcelona, Barcelona [Barcelona], Spain|Hospital Universitari Vall d Hebron ( Site 0701), Barcelona, Barcelona [Barcelona], Spain|Hospital Clinic I Provincial de Barcelona ( Site 0702), Barcelona, Barcelona [Barcelona], Spain|Hospital General Arnau de Vilanova de Valencia ( Site 0706), Valencia, Valenciana, Comunitat, Spain|Hospital Universitario Reina Sofia ( Site 0705), Cordoba, Spain|Clinica Universitaria Navarra - Madrid ( Site 0700), Madrid, Spain|Kaohsiung Chang Gung Memorial Hospital ( Site 2304), Kaohsiung, Taiwan|National Cheng Kung University Hospital ( Site 2303), Tainan, Taiwan|MacKay Memorial Hospital ( Site 2301), Taipei, Taiwan|Koo Foundation Sun Yat-Sen Cancer Center ( Site 2300), Taipei, Taiwan|China Medical University Hospital ( Site 2302), Taipei, Taiwan|Dnipropetrovsk City Multidiscipline Clinical Hosp. 4 of DRC ( Site 1502), Dnipro, Dnipropetrovska Oblast, Ukraine|CI Krivorizhskiy oncology dispensery ( Site 1504), Kryviy Rih, Dnipropetrovska Oblast, Ukraine|MI Precarpathian Clinical Oncology Center ( Site 1506), Ivano-Frankivsk, Ivano-Frankivska Oblast, Ukraine|SI-Zaytsev institute of general and urgent surgery-NAMS ( Site 1518), Kharkiv, Kharkivska Oblast, Ukraine|Medical Center Verum ( Site 1501), Kyiv, Kyivska Oblast, Ukraine|Medical Centre Consilium Medical ( Site 1514), Kyiv, Kyivska Oblast, Ukraine|Zhytomyr Regional Oncology Center ( Site 1515), Zhytomyr, Zhytomyrska Oblast, Ukraine|Raigmore Hospital ( Site 0915), Inverness, Highland, United Kingdom","https://ClinicalTrials.gov/show/NCT04191135"
391,"Does Type of Anesthesia Influence Inflammation Change After Breast Surgery?","Recruiting","No Results Available","Breast Cancer Female","Drug: Midazolam|Procedure: PECS|Procedure: Opioid-free general anesthesia|Procedure: General anesthesia|Procedure: Postoperative analgesia","Centro di Riferimento Oncologico - Aviano","CRO-2019-26","November 21, 2019","Centro di Riferimento Oncologico di Aviano (CRO), IRCCS, Aviano, PN, Italy","https://ClinicalTrials.gov/show/NCT04172220"
392,"Ashwagandha for Cognitive Dysfunction","Not yet recruiting","No Results Available","Breast Cancer","Drug: Ashwagandha|Drug: Placebo","Sutter Health","SIMR_onc19_IIS_D'Andre_Ashwaga","September 17, 2019","Sutter Cancer Center, Sacramento, California, United States","https://ClinicalTrials.gov/show/NCT04092647"
393,"Axillary Management in Breast Cancer Patients With Needle Biopsy Proven Nodal Metastases After Neoadjuvant Chemotherapy","Not yet recruiting","No Results Available","Breast Cancer|Sentinel Lymph Node|Neoplasm, Breast","Procedure: Axillary lymph node dissection|Radiation: Axillary radiotherapy|Radiation: Breast or chest wall radiotherapy","University Hospitals of Derby and Burton NHS Foundation Trust","NIHR 128311","September 30, 2019",,"https://ClinicalTrials.gov/show/NCT04109079"
394,"A Real-world Clinical Study of Pyrotinib Maleate Tablets in the Treatment of Breast Cancer Patients With Positive Her-2","Not yet recruiting","No Results Available","HER2 Positive Breast Carcinoma",,"Anhui Provincial Hospital","AnhuiPH","April 9, 2019",,"https://ClinicalTrials.gov/show/NCT03908749"
395,"Durvalumab, With Olaparib and Fulvestrant in Advanced ER+, HER2- Breast Cancer Patients.","Recruiting","No Results Available","ER-positive and HER2-negative Metastatic or Locally Advanced Breast Cancer|a Germline or Somatic BRCA Mutation, or a Deleterious Alteration of Other Genes Involved in Homologous Recombination Repair (HRR) or in MSI Status","Drug: Durvalumab|Drug: Olaparib|Drug: Fulvestrant","UNICANCER|ARCAGY/ GINECO GROUP|SOLTI Breast Cancer Research Group","UC-0140/1812","August 12, 2019","Institut de Cancerologie de Montpellier, Montpellier, France|Centre Henri-Becquerel, Rouen, France","https://ClinicalTrials.gov/show/NCT04053322"
396,"Using Clinicopathomic Markers to Predict Neoadjuvant Chemotherapy Response in Breast Cancer","Active, not recruiting","No Results Available","Breast Cancer|Invasive Ductal Breast Carcinoma|Invasive Lobular Breast Carcinoma","Diagnostic Test: Radiomic, pathomic, and clinical markers","Sunnybrook Health Sciences Centre","270-2018","July 16, 2019","Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada","https://ClinicalTrials.gov/show/NCT04021069"
397,"Efficacy Study of Mepitel Film the Prophylaxis of Radiation-Induced Skin Reactions in Breast Cancer Patients","Recruiting","No Results Available","Breast Cancer|Radiation Dermatitis","Other: Mepitel Film","Sunnybrook Health Sciences Centre","294-2018","April 10, 2019","Odette Cancer Centre, Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada","https://ClinicalTrials.gov/show/NCT03910595"
398,"Analyses of Exosomes in the Cerebrospinal Fluid for Breast Cancer Patients With Suspicion of Leptomeningeal Metastasis.","Not yet recruiting","No Results Available","Breast Cancer|Leptomeningeal Metastasis","Procedure: Cerebrospinal fluid and blood sample collection at the initial diagnostic assessment|Procedure: Cerebrospinal fluid and blood sample collection if conclusions of initial diagnostic assessment are ""Lack of evidence"" according to EANO-ESMO classification|Procedure: Cerebrospinal fluid and blood sample collection if conclusions of initial diagnostic assessment are ""confirmed"", ""probable"" or ""possible"", leading to leptomeningeal metastase specific treatment","Centre Oscar Lambret","Exo-LCR-1807|2018-A02358-47","June 4, 2019","Centre Oscar Lambret, Lille, Hauts-de- France, France|Centre Hospitalier Régional Universitaire de Lille, Lille, Hauts-de-France, France","https://ClinicalTrials.gov/show/NCT03974204"
399,"Study of the Utility of the BOMET-QOL Questionnaire Patients With Breast Cancer and Bone Metastasis","Completed","No Results Available","Breast Carcinoma Metastatic to the Bone","Diagnostic Test: BOMET-QoL questionnaire","Spanish Breast Cancer Research Group|Novartis Pharmaceuticals","Mabomet","February 20, 2019","Hospital Universitario Virgen Del Rocío, Sevilla, Andalucia, Spain|Hospital General de Guadalajara, Guadalajara, Castilla-La Mancha, Spain|ICO Badalona Hospital Universitari Germans Trias I Pujol, Badalona, Cataluña, Spain|Hospital Universitari Clinic I Provincial, Barcelona, Cataluña, Spain|Hospital Santa Creu I Sant Pau, Barcelona, Cataluña, Spain|Hospital Mutua de Terrassa, Barcelona, Cataluña, Spain|ICO Girona Hospital Dr. Josep Trueta, Gerona, Cataluña, Spain|Hospital Universitari Arnau de Vilanova, Lleida, Cataluña, Spain|Fundació Althaia, Xarxa Assistencial de Manresa, Manresa, Cataluña, Spain|Hospital General Universitario de Alicante, Alicante, Cominidad Valenciana, Spain|Hospital Clínico Universitario de Valencia, Valencia, Comunidad Valenciana, Spain|Complejo Hospitalario Universitario A Coruña, A Coruña, Galicia, Spain|Centro Oncologico de Galicia, A Coruña, Galicia, Spain|Complejo Hospitalario de Pontevedra, Pontevedra, Galicia, Spain|Hospital de Barbastro, Barbastro, Huesca, Spain","https://ClinicalTrials.gov/show/NCT03847220"
400,"Brief Intervention for Tobacco and Alcohol Risk Reduction for Couple During Breast Cancer Treatment.","Not yet recruiting","No Results Available","Breast Cancer|Smoking Cessation|Alcohol Use, Unspecified","Behavioral: Brief motivational interview on tobacco/alcohol risk reduction","Institut Bergonié|Ligue contre le cancer, France","IB 2017-05|2017-A03315-48","July 5, 2019","Institut Bergonie, Bordeaux, France","https://ClinicalTrials.gov/show/NCT04007549"
