role,name,affiliation,address,trial_id,processed_name,first_name,gender,gender_probability,gender_sample_count,Rank,Title,Status,Study Results,Conditions,Interventions,Sponsor/Collaborators,Other IDs,First Posted,Locations,URL
Principal Investigator,"Richard Crownover, MD",Principal Investigator,,NCT03799523,richard crownover,richard,male,0.99,101928,616,Demonstration of a Novel Approach Using Surface-Image Guidance to Improve Delivery of Breast Radiotherapy,Recruiting,No Results Available,Breast Cancer,Other: Temporary skin markings|Other: Surface imaging,The University of Texas Health Science Center at San Antonio,CTMS# 18-0135|18-769H,"January 10, 2019","UT Health San Antonio Mays Cancer Center, San Antonio, Texas, United States",https://ClinicalTrials.gov/show/NCT03799523
Principal Investigator,"Folke Sjöberg, MD, Prof",CTC Clinical Trial Consultants,,NCT04080024,folke sjöberg,folke,male,0.92,120,109,A First-in-human Clinical Evaluation of SN132D in Patients With Breast Cancer,Recruiting,No Results Available,Breast Cancer,Drug: SN132D,Spago Nanomedical AB|CTC Clinical Trial Consultants AB|Antaros Medical AB,SN132D CSP final version 3.0|2018-002193-41,"September 6, 2019","Gothia Forum Clinical Trial Center, Gothenburg, Sweden|CTC Clinical Trial Consultants AB, Uppsala, Sweden",https://ClinicalTrials.gov/show/NCT04080024
Principal Investigator,"Dan Curiac, MD, PhD",Gothia Forum Clinical Trial Center,,NCT04080024,dan curiac,dan,male,0.95,55986,109,A First-in-human Clinical Evaluation of SN132D in Patients With Breast Cancer,Recruiting,No Results Available,Breast Cancer,Drug: SN132D,Spago Nanomedical AB|CTC Clinical Trial Consultants AB|Antaros Medical AB,SN132D CSP final version 3.0|2018-002193-41,"September 6, 2019","Gothia Forum Clinical Trial Center, Gothenburg, Sweden|CTC Clinical Trial Consultants AB, Uppsala, Sweden",https://ClinicalTrials.gov/show/NCT04080024
Study Director,"Elaine Caldeira de Oliveira Guirro, PhD",University of São Paulo,,NCT04076033,elaine caldeira de oliveira guirro,elaine,female,0.98,8901,111,Reliability and Reproducibility of Bandaging in Breast Cancer,Recruiting,No Results Available,Breast Cancer,Other: functional compressive bandage,Elaine Caldeira de Oliveira Guirro|University of Sao Paulo,000001,"September 3, 2019","University of São Paulo, Ribeirão Preto, São Paulo, Brazil",https://ClinicalTrials.gov/show/NCT04076033
Principal Investigator,"John Mackey, MD",Cross Cancer Institute,,NCT03831178,john mackey,john,male,0.99,218952,113,Docosahexaenoic Acid (DHA) for Women With Breast Cancer in the Neoadjuvant Setting,Recruiting,No Results Available,Breast Cancer,Dietary Supplement: Docosahexaenoic acid (DHA)|Drug: Placebo oral capsule,AHS Cancer Control Alberta|Canadian Institutes of Health Research (CIHR)|University of Alberta,IIT-0005,"February 5, 2019","Cross Cancer Institute, Edmonton, Alberta, Canada",https://ClinicalTrials.gov/show/NCT03831178
Principal Investigator,John A Glaspy,UCLA / Jonsson Comprehensive Cancer Center,,NCT04185311,john a glaspy,john,male,0.99,218952,562,"Ipilimumab, Nivolumab, and Talimogene Laherparepvec Before Surgery in Treating Participants With Localized, Triple-Negative or Estrogen Receptor Positive, HER2 Negative Breast Cancer-deleted",Recruiting,No Results Available,"Anatomic Stage 0 Breast Cancer AJCC v8|Anatomic Stage I Breast Cancer AJCC v8|Anatomic Stage IA Breast Cancer AJCC v8|Anatomic Stage IB Breast Cancer AJCC v8|Anatomic Stage II Breast Cancer AJCC v8|Anatomic Stage IIA Breast Cancer AJCC v8|Anatomic Stage IIB Breast Cancer AJCC v8|Anatomic Stage IIIA Breast Cancer AJCC v8|Anatomic Stage IIIB Breast Cancer AJCC v8|HER2/Neu Negative|Invasive Ductal Carcinoma, Not Otherwise Specified|Progesterone Receptor Negative|Prognostic Stage 0 Breast Cancer AJCC v8|Prognostic Stage I Breast Cancer AJCC v8|Prognostic Stage IA Breast Cancer AJCC v8|Prognostic Stage IB Breast Cancer AJCC v8|Prognostic Stage II Breast Cancer AJCC v8|Prognostic Stage IIA Breast Cancer AJCC v8|Prognostic Stage IIB Breast Cancer AJCC v8|Prognostic Stage IIIA Breast Cancer AJCC v8|Prognostic Stage IIIB Breast Cancer AJCC v8|Triple-Negative Breast Carcinoma",Biological: Ipilimumab|Biological: Nivolumab|Biological: Talimogene Laherparepvec,Jonsson Comprehensive Cancer Center|National Cancer Institute (NCI),18-000427|NCI-2018-01410|Glaspy BMS CA209-9ET Breast|P30CA016042,"December 4, 2019","UCLA / Jonsson Comprehensive Cancer Center, Los Angeles, California, United States",https://ClinicalTrials.gov/show/NCT04185311
Principal Investigator,"Karen Wonders, PhD, FACSM",Maple Tree Cancer Alliance,,NCT04106609,karen wonders,karen,female,0.95,48557,114,Individualized Exercise Oncology Program for Newly Diagnosed Breast Cancer Patients,Recruiting,No Results Available,Breast Cancer,"Other: Supervised, individualized exercise oncology program|Other: Current standard of care",Karen Wonders|Kettering Health Network,Maple Tree Exercise,"September 27, 2019","Maple Tree Cancer Alliance, Dayton, Ohio, United States",https://ClinicalTrials.gov/show/NCT04106609
Principal Investigator,Karen M Basen-Engquist,M.D. Anderson Cancer Center,,NCT04125914,karen m basen-engquist,karen,female,0.95,48557,748,Weight Management and Health Behavior Intervention in Lowering Cancer Risk for BRCA Positive and Lynch Syndrome Families,Recruiting,No Results Available,Hereditary Breast Carcinoma|Hereditary Ovarian Carcinoma|Lynch Syndrome|Mutation Carrier,Behavioral: Behavioral Dietary Intervention|Other: E-mail|Behavioral: Exercise Intervention|Other: Internet-Based Intervention|Other: Questionnaire Administration|Behavioral: Telephone-Based Intervention|Other: Text Message,M.D. Anderson Cancer Center|National Cancer Institute (NCI),2016-0775|NCI-2019-02453|P30CA016672,"October 14, 2019","M D Anderson Cancer Center, Houston, Texas, United States",https://ClinicalTrials.gov/show/NCT04125914
Principal Investigator,"Raffaele LONGO, Dr",CHR Metz-Thionville,,NCT03898453,raffaele longo,raffaele,male,0.99,27499,115,EMDR Psychotherapy for Anxious-depressive Symptoms in Breast Cancer Patient,"Active, not recruiting",No Results Available,Breast Cancer Female,Behavioral: EMDR psychotherapy|Behavioral: support psychotherapy,"Centre Hospitalier Régional Metz-Thionville|University of Lorraine|Central Hospital, Nancy, France",2018-A01128-47,"April 2, 2019","CHR Metz-Thionville, Metz, France",https://ClinicalTrials.gov/show/NCT03898453
Principal Investigator,Anne Armstrong,The Christie NHS Foundation Trust,,NCT04188119,anne armstrong,anne,female,0.97,78727,116,A Proof of Concept Window Trial of the IMmunological Effects of AveLumab and Aspirin in Triple-Negative Breast Cancer,Not yet recruiting,No Results Available,Breast Cancer,Drug: Avelumab|Drug: Aspirin|Drug: Lansoprazole,The Christie NHS Foundation Trust|University of Manchester,CFT / sp123|2018-004121-80|017NovCC107,"December 5, 2019",,https://ClinicalTrials.gov/show/NCT04188119
Principal Investigator,Anne Armstrong,The Christie NHS Foundation Trust,,NCT03794596,anne armstrong,anne,female,0.97,78727,149,"A Proof of Concept, Window Trial of the IMmunological Effects of AveLumab and Aspirin in Triple-Negative Breast Cancer",Withdrawn,No Results Available,Breast Cancer,Drug: Avelumab|Drug: Aspirin|Drug: Lansoprazole (Proton Pump Inhibitor),The Christie NHS Foundation Trust|University of Manchester,CFT/sp123|2018-004121-80|16_DOG02_289|017NovCC1079,"January 7, 2019",,https://ClinicalTrials.gov/show/NCT03794596
Principal Investigator,"Anne May, PhD",UMC Utrecht Julius Center,,NCT04120298,anne may,anne,female,0.97,78727,202,Effects of Exercise in Patients With Metastatic Breast Cancer,Not yet recruiting,No Results Available,Metastatic Breast Cancer,Behavioral: Supervised exercise,"UMC Utrecht|German Cancer Research Center|Australian Catholic University|Karolinska Institutet|The Netherlands Cancer Institute|Medical University of Gdansk|Fundación Onkologikoa Fundazioa|Europa Donna|German Sport University, Cologne|University Hospital Heidelberg|Nurogames GmbH, Cologne",19-524|NL69600.041.19,"October 9, 2019",,https://ClinicalTrials.gov/show/NCT04120298
Principal Investigator,"Anne Blaes, MD","University of Minnesota, Division of Hematology, Oncology and Transplantation",,NCT03946423,anne blaes,anne,female,0.97,78727,354,BAriaTric Surgery After Breast Cancer Treatment (BATS),Not yet recruiting,No Results Available,Early-stage Breast Cancer|Obesity,Procedure: Bariatric Surgery with Sleeve Gastrectomy|Behavioral: Lifestyle Intervention,"Masonic Cancer Center, University of Minnesota",2018LS148,"May 10, 2019",,https://ClinicalTrials.gov/show/NCT03946423
Study Director,"Anne BREDART, PHD",Institut Curie,,NCT04118062,anne bredart,anne,female,0.97,78727,578,Communicating With Patients on Cancer Resistance to Treatment: the Development of a Communication Tool. (HECTOR),Not yet recruiting,No Results Available,Metastatic Uveal Melanoma|Triple Negative Breast Cancer|Luminal B Breast Cancer|Pediatric Cancer,Behavioral: Questionnaires|Behavioral: Semi-structured individual interviews|Other: Focus Group|Other: DELPHI Consensus Method,Institut Curie,IC 2018-09,"October 7, 2019","Institut Curie, Paris, France",https://ClinicalTrials.gov/show/NCT04118062
Study Director,"Sylvie DOLBEAULT, PHD",Institut Curie,,NCT04118062,sylvie dolbeault,sylvie,female,0.98,65175,578,Communicating With Patients on Cancer Resistance to Treatment: the Development of a Communication Tool. (HECTOR),Not yet recruiting,No Results Available,Metastatic Uveal Melanoma|Triple Negative Breast Cancer|Luminal B Breast Cancer|Pediatric Cancer,Behavioral: Questionnaires|Behavioral: Semi-structured individual interviews|Other: Focus Group|Other: DELPHI Consensus Method,Institut Curie,IC 2018-09,"October 7, 2019","Institut Curie, Paris, France",https://ClinicalTrials.gov/show/NCT04118062
Study Chair,"Elisabetta Munzone, MD",European Institute of Oncology,,NCT03820830,elisabetta munzone,elisabetta,female,0.99,12887,117,Palbociclib for HR Positive / HER2-negative Isolated Locoregional Recurrence of Breast Cancer,Recruiting,No Results Available,Breast Cancer Recurrent,Drug: Palbociclib 125mg|Drug: Standard endocrine therapy,International Breast Cancer Study Group|Pfizer,IBCSG 59-19|2018-003553-19|BIG 18-02|WI239003,"January 29, 2019","Medizinische Universität Graz (MUG), Graz, Austria|Medizinische Universität Innsbruck - Univ.-Klinik f. Frauenheilkunde, Innsbruck, Austria|Uniklinikum Salzburg, Salzburg, Austria|MUW - Universitätsklinik für Innere Medizin, Vienna, Austria|Institut Sainte Catherine, Avignon, France|Polyclinique Bordeaux Nord, Bordeaux, France|Centre Francois Baclesse, Caen, France|Cêntre Hospitaler de Cholet, Cholet, France|Centre Georges François Leclerc, Dijon, France|Centre Hospitalier Universitaire de Limoges, Limoges, France|ICM Val d'Aurelle, Montpellier, France|Centre Antoine Lacassagne, Nice, France|Institut Claudius Regaud, Toulouse, France|Gustave Roussy, Villejuif, France|National Institute of Oncology, Budapest, Hungary|Cro Irccs, Aviano, Italy|ASST Papa Giovanni XXIII, Bergamo, Italy|PO Antonio Perrino Brindisi, Brindisi, Italy|Istituto scientifico Romagnolo per lo studio e la cura, Meldola, Italy|Istituto Europeo di Oncologia, Milan, Italy|AOU Maggiore Della Carita, University of Eastern Piedmont, Novara, Italy|Azienda Ospedaliero-Universitaria di Parma, Parma, Italy|Istituti Clinici Scientifici Maugeri, Pavia, Italy|Ospedale S. Stefano, Prato, Italy|U.O. Oncologia, Ospedale Infermi, Rimini, Italy|Hospital Universitario de Canarias, San Cristóbal de La Laguna, Tenerife, Spain|Hospital General Universitario de Alicante, Alicante, Spain|Hospital Universitario Vall d´Hebrón, Barcelona, Spain|Instituto Catalan de Oncologia L´Hospitalet, Barcelona, Spain|Hospital de Basurto, Bilbao, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|HU Ramón y Cajal, Madrid, Spain|Hospital Virgen de la Victoria, Málaga, Spain|Instituto Valenciano de Oncología (IVO), Valencia, Spain|Hospital Universitario Miguel Servet, Zaragoza, Spain|Kantonsspital Baden, Baden, Switzerland|Brustzentrum Basel Bethesda Spital, Basel, Switzerland|Inselspital Bern, Bern, Switzerland|Centre du Sein Fribourg, Fribourg, Switzerland|Luzerner Kantonsspital, Luzern, Switzerland|Kantonsspital Winterthur, Winterthur, Switzerland|Brust-Zentrum AG Zürich, Zürich, Switzerland",https://ClinicalTrials.gov/show/NCT03820830
Study Director,Wei Zhao,"Shiyao Group Ouyi Pharmaceutical Co., Ltd.",,NCT04060290,wei zhao,wei,male,0.72,5779,122,Real-world Study for the Safety of Albumin-Bound Paclitaxel in Recurrent or Metastatic Breast Cancer,Not yet recruiting,No Results Available,Breast Cancer,Other: Observational study,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",CSPC-KAL-AE-01,"August 19, 2019","Anhui Cancer Hospital, Hefei, Anhui, China|Anhui Provincial Hospital, Hefei, Anhui, China|Tumor Hospital of Harbin Medical University, Harbin, Heilongjiang, China|Henan Cancer Hospital, Zhengzhou, Henan, China|Inner Mongolia Autonomous Region Cancer Hospital, Hohhot, Inner Mongolia Autonomous Region, China|Liaoning Cancer Hospital, Shenyang, Liaoning, China|Cancer Hospital Chinese Academy of Medical Sciences, Beijing, China",https://ClinicalTrials.gov/show/NCT04060290
Principal Investigator,"Biyun Wang, Professor",Fudan University,,NCT03894410,biyun wang,biyun,female,1.0,6,123,Real World Study of Lapatinib Among Metastatic Breast Cancer Patients,"Active, not recruiting",No Results Available,Breast Cancer,,Fudan University,YOUNGBC-6,"March 28, 2019","Fudan University Shanghai Cancer Center, Shanghai, Shanghai, China",https://ClinicalTrials.gov/show/NCT03894410
Principal Investigator,"Biyun Wang, Professor",Fudan University,,NCT04001634,biyun wang,biyun,female,1.0,6,429,Dual Anti-HER2 Therapy (Lapatinib and Trastuzumab) Plus Chemotherapy in HER2-positive MBC,"Active, not recruiting",No Results Available,Breast Cancer,,Fudan University,YOUNGBC-8,"June 28, 2019","Biyun Wang, MD, Shanghai, Shanghai, China",https://ClinicalTrials.gov/show/NCT04001634
Principal Investigator,"Biyun Wang, Professor",Fudan University,,NCT04006626,biyun wang,biyun,female,1.0,6,432,18F-FES PET/CT's Additional Clinical Value in ER+ BC,Completed,No Results Available,Breast Cancer,,Fudan University,YOUNGBC-7,"July 5, 2019","Biyun Wang, MD, Shanghai, Shanghai, China",https://ClinicalTrials.gov/show/NCT04006626
Principal Investigator,"Leigh Leibel, MSc",Columbia University,,NCT04042870,leigh leibel,leigh,male,0.5,2515,124,Effect of Sukshma Vyayama Yoga on Aromatase Inhibitor-Induced Arthralgia in Breast Cancer Survivors,Completed,No Results Available,Breast Cancer,Behavioral: Joint Loosening Yoga,"AshtaYoga, LLC|Columbia University|Swami Vivekananda Yoga Anusandhana Samsthana",AI Yoga Study on Facebook - 1,"August 2, 2019","Columbia University Medical Center, New York, New York, United States",https://ClinicalTrials.gov/show/NCT04042870
Principal Investigator,"Laura M Kenny, MD FRCP PhD",Imperial College London,,NCT03827317,laura m kenny,laura,female,0.98,288403,181,HERPET- A Novel PET Imaging Study of HER2 in Breast Cancer,Recruiting,No Results Available,Breast Cancer,Radiation: [18F]GE-226,Imperial College London|Medical Research Council|University of Cambridge,2015‐004027‐31,"February 1, 2019","Imperial College Healthcare NHS Trust, London, United Kingdom",https://ClinicalTrials.gov/show/NCT03827317
Principal Investigator,"Laura Biganzoli, MD",Hospital of Prato,,NCT03944434,laura biganzoli,laura,female,0.98,288403,204,FACILE: FeAsibility of First-line riboCIclib in oLdEr Patients With Advanced Breast Cancer,Recruiting,No Results Available,Breast Cancer,"Drug: Ribociclib|Drug: Aromatase Inhibitors, non steroideal|Drug: LHRH agonist",Fondazione Sandro Pitigliani|Novartis,FACILE,"May 9, 2019","Hospital of Prato, Prato, Please Select:, Italy",https://ClinicalTrials.gov/show/NCT03944434
Principal Investigator,"Laura Q Rogers, MD, MPH",University of Alabama at Birmingham,,NCT04088708,laura q rogers,laura,female,0.98,288403,471,"Gut Microbe Composition, Exercise, and Breast Breast Cancer Survivors",Recruiting,No Results Available,Breast Cancer|Gut Microbiome|Exercise|Fatigue,Other: Aerobic Exercise Training|Other: Attention Control,University of Alabama at Birmingham|National Cancer Institute (NCI),IRB-30000320|R01CA235598,"September 13, 2019","University of Alabama at Birmingham, Birmingham, Alabama, United States",https://ClinicalTrials.gov/show/NCT04088708
Principal Investigator,"Laura Heacock, MD",New York Langone Medical Center,,NCT03927768,laura heacock,laura,female,0.98,288403,612,Abbreviated Breast MRI (AB-MRI) With Golden-angle Radial Compressed-sensing and Parallel Imaging (GRASP),Recruiting,No Results Available,Breast Cancer,Diagnostic Test: Predictive Model|Diagnostic Test: Breast Imagers,NYU Langone Health,18-00684,"April 25, 2019","NYU Langone Health, New York, New York, United States",https://ClinicalTrials.gov/show/NCT03927768
Principal Investigator,"Laura Canovi, RT",Arcispedale S.Maria Nuova,,NCT04009278,laura canovi,laura,female,0.98,288403,687,Self-compression Mammography in Clinical Practice,"Active, not recruiting",No Results Available,Mammography|Breast Cancer,Other: Self compression arm,Arcispedale Santa Maria Nuova-IRCCS,RCT Pristina 2/TR,"July 5, 2019","Laura Canovi, Reggio Emilia, RE, Italy",https://ClinicalTrials.gov/show/NCT04009278
Principal Investigator,Robert W Mutter,Mayo Clinic Cancer Center LAO,,NCT04052555,robert w mutter,robert,male,0.99,177418,483,"Testing the Addition of an Anti-cancer Drug, M6620, to the Usual Treatment (Radiation Therapy) for Chemotherapy-Resistant Triple-Negative and Estrogen and/or Progesterone Receptor Positive, HER2 Negative Breast Cancer",Recruiting,No Results Available,Bilateral Breast Carcinoma|Breast Carcinoma|Recurrent Breast Carcinoma|Triple-Negative Breast Carcinoma,Drug: Berzosertib|Other: Quality-of-Life Assessment|Other: Questionnaire Administration|Radiation: Radiation Therapy,National Cancer Institute (NCI),NCI-2019-05187|10291|UM1CA186686,"August 12, 2019","Rutgers Cancer Institute of New Jersey, New Brunswick, New Jersey, United States|Ohio State University Comprehensive Cancer Center, Columbus, Ohio, United States",https://ClinicalTrials.gov/show/NCT04052555
Study Director,"Robert Zachariae, DMSc","Department of Oncology, Aarhus University Hospital & Aarhus University",,NCT04137575,robert zachariae,robert,male,0.99,177418,671,ConquerFear-Group: A Psychological Intervention for Fear of Cancer Recurrence,Recruiting,No Results Available,Fear of Cancer Recurrence|Breast Cancer Female,Behavioral: ConquerFear-Group|Behavioral: Relaxation Training,Aarhus University Hospital|University of Aarhus,NINTAU,"October 24, 2019","Aarhus University Hospital, Aarhus, Denmark",https://ClinicalTrials.gov/show/NCT04137575
Study Director,"Robert Stagg, PharmD",Tempest Therapeutics,,NCT03829436,robert stagg,robert,male,0.99,177418,763,"TPST-1120 as Monotherapy and in Combination With (Nivolumab, Docetaxel or Cetuximab) in Subjects With Advanced Cancers",Recruiting,No Results Available,Hepatocellular Carcinoma|Metastatic Castration Resistant Prostate Cancer|Renal Cell Carcinoma|Non-small Cell Lung Cancer|Colorectal Cancer|Squamous Cell Carcinoma of Head and Neck|Triple-Negative Breast Cancer|Urothelial Carcinoma|Cholangiocarcinoma|GastroEsophageal Cancer|Pancreatic Cancer|Sarcoma,Drug: Part 1 TPST-1120|Drug: Part 2a TPST-1120 + nivolumab|Drug: Part 2b TPST-1120 + docetaxel|Drug: Part 2c TPST-1120 + cetuximab|Drug: Part 3 TPST-1120|Drug: Part 4a TPST-1120 + nivolumab|Drug: Part 4b TPST-1120 + docetaxel|Drug: Part 4c TPST-1120 + cetuximab,Tempest Therapeutics,TPST-1120-001,"February 4, 2019","Miami Cancer Institute, Miami, Florida, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|University of Michigan Rogel Cancer Center, Ann Arbor, Michigan, United States|Carolina BioOncology Institute, Huntersville, North Carolina, United States|Stephenson Cancer Center, Oklahoma City, Oklahoma, United States|UPMC Hillman Cancer Center, Pittsburgh, Pennsylvania, United States|Sarah Cannon Research Institute - TN, Nashville, Tennessee, United States|Mary Crowley Cancer Research, Dallas, Texas, United States",https://ClinicalTrials.gov/show/NCT03829436
Principal Investigator,"Fiona Gilbert, FRCR",University of Cambridge,,NCT03940092,fiona gilbert,fiona,female,0.97,11154,126,Sodium (23Na) MRI for Tumour Characterisation and Assessment of Therapy Response in Breast Cancer,Not yet recruiting,No Results Available,Breast Cancer,Other: MRI|Other: PET/MRI,Cambridge University Hospitals NHS Foundation Trust,260281,"May 7, 2019","Cambridge University Hospitals NHS Foundation Trust, Cambridge, Cambridgeshire, United Kingdom",https://ClinicalTrials.gov/show/NCT03940092
Principal Investigator,Fiona Gilbert,University of Cambridge,,NCT04097366,fiona gilbert,fiona,female,0.97,11154,600,Breast Screening - Risk Adaptive Imaging for Density,Recruiting,No Results Available,Breast Cancer,Diagnostic Test: ABUS|Diagnostic Test: CESM|Diagnostic Test: ABB-MRI,University of Cambridge|Cancer Research UK|GE Healthcare|Queen Mary University of London|Public Health England,A095053,"September 20, 2019","Cambridge University Hospitals NHS Foundation Trust, Cambridge, United Kingdom|Gloucestershire Hospitals NHS Foundation Trust, Cheltenham, United Kingdom|The Leeds Teaching Hospitals NHS Trust, Leeds, United Kingdom|Manchester University NHS Foundation Trust, Manchester, United Kingdom",https://ClinicalTrials.gov/show/NCT04097366
Principal Investigator,"Stephen Chia, MD",BCCA,,NCT03790813,stephen chia,stephen,male,0.99,36980,130,"Informative Tools to Optimize Neoadjuvant Therapy in ER Positive, HER2 Negative Breast Cancers",Not yet recruiting,No Results Available,Breast Cancer,Diagnostic Test: Intervention 1|Diagnostic Test: Intervention 2,"British Columbia Cancer Agency|Genomic Health®, Inc.",H18-02581,"January 2, 2019",,https://ClinicalTrials.gov/show/NCT03790813
Principal Investigator,Qiao I Li,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,NCT03923179,qiao i li,qiao,female,0.59,150,133,Phase II Clinical Study of Pyrotinib Combined With Etoposide to Treat HER2-positive Advanced Breast Cancer,Recruiting,No Results Available,Breast Cancer,Drug: Pyrotinib|Drug: Etoposide,Chinese Academy of Medical Sciences,LQ007,"April 22, 2019","Cancer Hospital, ChineseAMS, Beijing, Beijing, China",https://ClinicalTrials.gov/show/NCT03923179
Principal Investigator,Qiao Li,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,NCT03923166,qiao li,qiao,female,0.59,150,152,Pyrotinib Combined With Capecitabine Metronomic Therapy in HER2-postitive Advanced Breast Cancer,Recruiting,No Results Available,Breast Cancer,Drug: Pyrotinib|Drug: capecitabine,Chinese Academy of Medical Sciences,LQ006,"April 22, 2019","Cancer Institute and Hospital, Chinese Academy of Medical Sciences, Beijing, Beijing, China",https://ClinicalTrials.gov/show/NCT03923166
Principal Investigator,"Paul K Marcom, MD",Duke University,,NCT04197999,paul k marcom,paul,male,0.99,148099,138,A Study to Determine Safety and Tolerability of GMI-1359 in Subjects With HR+ Metastatic Breast Cancer,Recruiting,No Results Available,HR+ Metastatic Breast Cancer|Breast Cancer|Breast Cancer Metastatic,Drug: GMI-1359,GlycoMimetics Incorporated,GMI-1359-210,"December 13, 2019","Duke University Medical Center, Durham, North Carolina, United States",https://ClinicalTrials.gov/show/NCT04197999
Principal Investigator,"Dorothy A Sipkins, MD, PhD",Duke University,,NCT04197999,dorothy a sipkins,dorothy,female,0.99,11523,138,A Study to Determine Safety and Tolerability of GMI-1359 in Subjects With HR+ Metastatic Breast Cancer,Recruiting,No Results Available,HR+ Metastatic Breast Cancer|Breast Cancer|Breast Cancer Metastatic,Drug: GMI-1359,GlycoMimetics Incorporated,GMI-1359-210,"December 13, 2019","Duke University Medical Center, Durham, North Carolina, United States",https://ClinicalTrials.gov/show/NCT04197999
Principal Investigator,"Umut Bahcacı, MSc","Florence Nightingale Hospital, Istanbul",,NCT04163692,umut bahcacı,umut,male,0.96,24982,139,Effects of Progressive Relaxation Training in Breast Cancer Survivors Receiving Aromatatase Inhibitor Therapy,"Active, not recruiting",No Results Available,Breast Cancer,Other: Progressive relaxation exercises,Hacettepe University,PREBCA,"November 15, 2019","Florence Nightingale Hospital, Istanbul, Turkey",https://ClinicalTrials.gov/show/NCT04163692
Principal Investigator,"Zeynep Erdoğan İyigün, Asst. Prof.","Florence Nightingale Hospital, Istanbul",,NCT04163692,zeynep erdoğan i̇yigün,zeynep,female,0.97,31807,139,Effects of Progressive Relaxation Training in Breast Cancer Survivors Receiving Aromatatase Inhibitor Therapy,"Active, not recruiting",No Results Available,Breast Cancer,Other: Progressive relaxation exercises,Hacettepe University,PREBCA,"November 15, 2019","Florence Nightingale Hospital, Istanbul, Turkey",https://ClinicalTrials.gov/show/NCT04163692
Principal Investigator,"Songul Atasavun Uysal, Asst. Prof.",Hacettepe University,,NCT04163692,songul atasavun uysal,songul,female,0.96,1252,139,Effects of Progressive Relaxation Training in Breast Cancer Survivors Receiving Aromatatase Inhibitor Therapy,"Active, not recruiting",No Results Available,Breast Cancer,Other: Progressive relaxation exercises,Hacettepe University,PREBCA,"November 15, 2019","Florence Nightingale Hospital, Istanbul, Turkey",https://ClinicalTrials.gov/show/NCT04163692
Study Chair,"Vahit Özmen, Prof.","Florence Nightingale Hospital, Istanbul",,NCT04163692,vahit özmen,vahit,male,0.98,1510,139,Effects of Progressive Relaxation Training in Breast Cancer Survivors Receiving Aromatatase Inhibitor Therapy,"Active, not recruiting",No Results Available,Breast Cancer,Other: Progressive relaxation exercises,Hacettepe University,PREBCA,"November 15, 2019","Florence Nightingale Hospital, Istanbul, Turkey",https://ClinicalTrials.gov/show/NCT04163692
Study Chair,"Vahit Özmen, Prof",İstanbul FN hospital,,NCT03986268,vahit özmen,vahit,male,0.98,1510,583,Vitamin D Replacement Therapy Can Affects Pathological Response in Neoadjuvant Breast Cancer Treatment,Recruiting,No Results Available,Vitamin D Deficiency|Chemotherapy Effect|Pathology,Drug: Vit D,"Florence Nightingale Hospital, Istanbul",2019-40016-06,"June 14, 2019","İstanbul Florence Nightingale Hospital Breast Health Center, Istanbul, Şişli, Turkey",https://ClinicalTrials.gov/show/NCT03986268
Study Director,"Fatma Aktepe, Prof",Gayrettepe FN Hospital,,NCT03986268,fatma aktepe,fatma,female,0.97,34628,583,Vitamin D Replacement Therapy Can Affects Pathological Response in Neoadjuvant Breast Cancer Treatment,Recruiting,No Results Available,Vitamin D Deficiency|Chemotherapy Effect|Pathology,Drug: Vit D,"Florence Nightingale Hospital, Istanbul",2019-40016-06,"June 14, 2019","İstanbul Florence Nightingale Hospital Breast Health Center, Istanbul, Şişli, Turkey",https://ClinicalTrials.gov/show/NCT03986268
Principal Investigator,"Jiabao He, PhD",University of Aberdeen,,NCT03949946,jiabao he,jiabao,male,0.8,15,141,Is Lipid Mapping an Effective Early Detection Tool for Breast Cancer in High-risk Populations?,Recruiting,No Results Available,Breast Cancer,Procedure: Magnetic resonance imaging (MRI),University of Aberdeen|NHS Grampian,2-025-19,"May 14, 2019","Aberdeen Biomedical Imaging Centre, Aberdeen, Aberdeenshire, United Kingdom",https://ClinicalTrials.gov/show/NCT03949946
Study Chair,"Jiabao He, PhD",University of Aberdeen,,NCT03944226,jiabao he,jiabao,male,0.8,15,525,Is Dietary Nitrate Effective in Reducing Aerobic Glycolysis in Breast Cancer?,Not yet recruiting,No Results Available,Malignant Breast Tissue Neoplasm,Dietary Supplement: Beetroot juice,University of Aberdeen|NHS Grampian,2-114-18|17/049,"May 9, 2019","Aberdeen Biomedical Imaging Centre, Aberdeen, United Kingdom",https://ClinicalTrials.gov/show/NCT03944226
Principal Investigator,"Vasiliki Mallikourti, MSc",University of Aberdeen,,NCT03944226,vasiliki mallikourti,vasiliki,female,0.97,962,525,Is Dietary Nitrate Effective in Reducing Aerobic Glycolysis in Breast Cancer?,Not yet recruiting,No Results Available,Malignant Breast Tissue Neoplasm,Dietary Supplement: Beetroot juice,University of Aberdeen|NHS Grampian,2-114-18|17/049,"May 9, 2019","Aberdeen Biomedical Imaging Centre, Aberdeen, United Kingdom",https://ClinicalTrials.gov/show/NCT03944226
